node,gpt-4-0125-preview,gpt-4-1106-preview,gpt-4-0613,gpt-4-0314,qwen1.5-72b-chat,mistral-medium,claude-1,gemini-pro,nous-hermes-2-mixtral-8x7b-dpo,gpt-3.5-turbo-0613,yi-34b-chat,starling-lm-7b-alpha,vicuna-33b,wizardlm-70b,claude-2.0,gemini-pro-dev-api,openchat-3.5-0106,mixtral-8x7b-instruct-v0.1,llama2-70b-steerlm-chat,tulu-2-dpo-70b,gpt-3.5-turbo-0314,llama-2-70b-chat,openchat-3.5,gpt-3.5-turbo-0125,openhermes-2.5-mistral-7b,wizardlm-13b,deepseek-llm-67b-chat,solar-10.7b-instruct-v1.0,claude-2.1,gpt-3.5-turbo-1106,claude-instant-1,mistral-7b-instruct-v0.2,zephyr-7b-alpha,pplx-70b-online,vicuna-13b,zephyr-7b-beta,guanaco-33b,codellama-34b-instruct,falcon-180b-chat,llama-2-13b-chat,stripedhyena-nous-7b,llama-2-7b-chat,qwen1.5-7b-chat,dolphin-2.2.1-mistral-7b,pplx-7b-online,mistral-7b-instruct,mpt-30b-chat,vicuna-7b,palm-2,qwen-14b-chat,koala-13b,chatglm3-6b,alpaca-13b,chatglm2-6b,gpt4all-13b-snoozy,mpt-7b-chat,RWKV-4-Raven-14B,qwen1.5-4b-chat,fastchat-t5-3b,oasst-pythia-12b,chatglm-6b,dolly-v2-12b,stablelm-tuned-alpha-7b,llama-13b
0,1263.2527915178266,1257.455126853357,1190.240315898182,1188.1567799228756,1166.1668336274308,1164.9468282845019,1151.162126358299,1133.148019570779,1132.3642925346783,1127.067828973365,1123.4551456425688,1122.8158194686548,1122.723042906596,1121.2700792407502,1119.0910257816595,1116.9985285466566,1116.6888444060141,1114.0,1113.776971925608,1113.492491883741,1111.7708277844554,1108.5885421769767,1107.6733779931492,1104.4235430710685,1102.0949138754231,1097.6166146987819,1096.8174963549277,1095.931751323357,1095.4961239857637,1093.5938318131002,1091.8177433790092,1088.0479436266255,1082.38132596667,1079.66196121389,1072.7476893590422,1071.5308706824842,1070.3211141544807,1064.0202285014154,1060.441149260464,1055.7008129226126,1049.7303202371706,1048.7774845369372,1047.4378099047376,1047.1621319966903,1043.6429403362158,1033.298566131963,1026.459935422233,1014.0837294935104,1010.8655801929733,1001.2834504578406,985.0276905105544,982.3614108053945,962.4661944837896,957.1548767310587,953.9503524029245,936.100726714376,920.8905408298431,912.5683005763962,909.6299508115438,902.0756043378734,873.7437313973179,862.1310127304185,846.2721722126528,779.1220016160257
1,1236.9209413744627,1300.4506572296414,1240.5377088194066,1264.6294015181454,1183.7620760539764,1204.9743378210878,1174.0008452604234,1201.8121437617253,1108.398111778731,1187.9137822008688,1059.5863075502493,1132.1704628614284,1094.9742687285197,1114.6004924383724,1196.199310860832,1170.1550903167215,1075.6604528617288,1114.0,1167.4035512420835,1114.7399830666018,1129.6042554653839,1114.1362950470223,1118.7311489295028,1181.9255425939944,1109.4729575840472,1064.7721476434392,1138.3614933473916,1070.050761471832,1176.537777345168,1160.7368838321458,1124.454275991275,1075.6604528617288,1124.8222119675133,1186.881745260205,1090.5213775123593,1103.9221633775658,1137.8005355552482,1062.5400194853378,1132.9579843162905,1093.8387193283484,1010.8818135033492,1036.1384252794069,1075.6604528617288,1143.7182092422975,1058.0692897101485,1064.2800146228908,1010.5044018551755,997.8346826439763,994.1509990909589,1009.9152183358751,971.7492793864546,1029.7085501247147,995.5859748832638,962.4159526838407,827.060140909607,952.455869514752,894.9927590985079,1075.6604528617288,873.6464273376205,881.7528171454057,916.4674574926548,728.6566401963819,760.2716825432256,830.0727971658702
2,1114.0,1114.0,1463.3366669555344,1452.6503670643765,1114.0,1114.0,1467.0080261627072,1114.0,,1372.8222256354054,,1114.0,1628.744328999031,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1908.3306692905367,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1345.3692095096258,1114.0,1114.0,,1114.0,1114.0,1114.0,1114.0,,1114.0,,1114.0,1114.0,1114.0,,,1114.0,1114.0,,-1726.261493617214,1114.0,1114.0,1114.0,,1114.0,,,1114.0,1114.0,,1114.0,,1114.0,1114.0,1114.0,1114.0
246,1114.0,1094.8787219098954,1090.3275350152694,1250.977998493078,,1050.3643994793747,1114.0,1114.0,1114.0,1008.1250555842182,1114.0,1114.0,989.7860772013155,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1182.7927303988868,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1039.6317904599696,1114.0,1114.0,1114.0,1114.0,1302.1101094779922,1114.0,1114.0,,1131.00558198,1114.0,1114.0,1114.0,,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,,1114.0,1114.0,1114.0,,1114.0,1114.0
377,1114.0,1166.413740060707,997.5536479211258,1196.2213453162162,,1114.0,1114.0,1114.0,1114.0,898.9356672114592,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,,,1114.0,1114.0,,1114.0,1114.0,1270.5402007477428,,,1114.0,1114.0,1229.591878578145,1114.0,,,1038.743520164604,,1114.0,1114.0,,1114.0,1114.0,,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,,1114.0,1114.0,,,1114.0,1114.0
610,1151.4899244374424,1320.1513866265968,1293.3584900930177,1253.8791317108405,1151.4899244374424,1336.8282794319343,1123.795905727085,1312.1745137755245,1151.4899244374424,1254.1433279287182,1151.4899244374424,1053.8816496563934,1155.9885842169851,1147.01718997434,1076.9224985304718,1151.4899244374424,1151.4899244374424,1114.0,1151.4899244374424,1151.4899244374424,981.1526955030054,1171.6929552075555,1164.9717407156163,1151.4899244374424,1151.4899244374424,1151.4899244374424,1151.4899244374424,1151.4899244374424,1286.8111365304653,1105.0155937701736,1174.7642665819853,,1151.4899244374424,1151.4899244374424,1219.2860869603883,1249.2120476306736,1151.4899244374424,1151.4899244374424,1151.4899244374424,1151.4899244374424,,1309.0550263706675,,1151.4899244374424,1151.4899244374424,1151.4899244374424,1151.4899244374424,952.328410555,915.4565806104154,1151.4899244374424,1151.4899244374424,1151.4899244374424,1151.4899244374424,1151.4899244374424,1151.4899244374424,1151.4899244374424,663.8706883907626,,1151.4899244374424,1151.4899244374424,1151.4899244374424,1151.4899244374424,1151.4899244374424,1151.4899244374424
611,1114.0,1245.0327986302493,1171.423224854643,1146.8132868842315,,1114.0,1113.4310769182057,1114.0,1114.0,1000.5932065734978,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,,1114.0,1114.0,1114.0,1114.0,1114.0,1036.0201027531457,,1114.0,1114.0,1114.0,1114.0,1278.6715571168245,1114.0,1207.0086230304437,,1114.0,1114.0,1114.0,827.006123238759,1114.0,1114.0,,1114.0,,1114.0,,,,1114.0,,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,,1114.0,1114.0,,1114.0,1114.0,1114.0,,1114.0,1114.0
713,1114.0,2857.400038378033,1114.0,1114.0,,1114.0,1114.0,1114.0,1114.0,-629.3992366644247,1114.0,1114.0,1114.0,1114.0,1114.0,,,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,,1114.0,1114.0,1114.0,,2857.3994043469484,1114.0,-629.4002060605544,,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,,1114.0,,1114.0,,,,1114.0,,1114.0,1114.0,1114.0,,1114.0,,1114.0,,1114.0,1114.0,,1114.0,1114.0,,,,
890,,2226.0208797678342,2381.773120866225,2455.9259120892248,1114.0,1114.0,-1285.322255614612,1114.0,,2190.9249056885074,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,,1114.0,1114.0,1114.0,-1285.3225627971797,1114.0,1114.0,1114.0,,1114.0,1114.0,,1114.0,1114.0,1114.0,,1114.0,,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,,1114.0,,,1114.0,,1114.0,1114.0,1114.0,1114.0,1114.0,,1114.0,,1114.0,1114.0,1114.0,,1114.0,1114.0,1114.0,1114.0,1114.0,
1074,1114.0,1960.308211146672,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1889.8715931926304,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,-508.17980433930325,1114.0,1114.0,1114.0,,1114.0,1114.0,1114.0,1114.0,1114.0,,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,,1114.0,,1114.0,,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,,1114.0,,1114.0,,1114.0,1114.0,,1114.0,1114.0,,,1114.0,1114.0
