node,depth,gpt-4-1106-preview,gpt-4-0125-preview,gpt-4-0314,qwen1.5-72b-chat,gpt-4-0613,mistral-medium,claude-1,gemini-pro-dev-api,claude-2.0,mixtral-8x7b-instruct-v0.1,gemini-pro,claude-2.1,pplx-70b-online,yi-34b-chat,llama-2-70b-chat,claude-instant-1,gpt-3.5-turbo-0613,wizardlm-70b,starling-lm-7b-alpha,gpt-3.5-turbo-0125,gpt-3.5-turbo-0314,nous-hermes-2-mixtral-8x7b-dpo,vicuna-33b,tulu-2-dpo-70b,dolphin-2.2.1-mistral-7b,solar-10.7b-instruct-v1.0,deepseek-llm-67b-chat,qwen1.5-7b-chat,llama2-70b-steerlm-chat,mistral-7b-instruct-v0.2,openhermes-2.5-mistral-7b,openchat-3.5,codellama-34b-instruct,llama-2-13b-chat,pplx-7b-online,llama-2-7b-chat,wizardlm-13b,gpt-3.5-turbo-1106,openchat-3.5-0106,zephyr-7b-beta,mpt-30b-chat,qwen1.5-4b-chat,guanaco-33b,qwen-14b-chat,stripedhyena-nous-7b,vicuna-13b,palm-2,zephyr-7b-alpha,falcon-180b-chat,mistral-7b-instruct,vicuna-7b,koala-13b,chatglm3-6b,gpt4all-13b-snoozy,mpt-7b-chat,RWKV-4-Raven-14B,chatglm2-6b,oasst-pythia-12b,alpaca-13b,fastchat-t5-3b,chatglm-6b,stablelm-tuned-alpha-7b,dolly-v2-12b,llama-13b
0,1,1242.511939433851,1232.1247254330406,1168.595387899465,1143.7120482536277,1140.153031004628,1132.0172647433385,1121.8008368034423,1117.7507269469277,1115.528462773061,1114.0,1105.5224814222584,1098.03003509933,1095.2582459740536,1094.9336182022091,1094.1963899542206,1092.1448479960443,1088.5345438216857,1088.5162090899637,1088.1635856179316,1087.3664904733705,1083.1528825865453,1078.8915164693665,1074.365639382353,1067.8340261613494,1062.2562957431498,1061.7515606556517,1057.6292551874353,1052.5553882930112,1050.7531868108522,1048.7218484112057,1048.3843912785555,1046.8184023016177,1045.1203262015501,1042.7166739985819,1039.4826117825014,1039.4289240273004,1038.1097333298335,1037.2220572837055,1036.1331407907364,1031.76134379712,1030.3941006459415,1020.7945488774188,1013.5158417589496,1010.4350403645052,1003.8442584467231,1003.5482337875616,999.4918075185882,992.8541358924956,990.7755637708677,985.4096921414065,970.1559000437029,964.3950693735729,924.0513908163656,914.4979611831926,898.068527633362,882.9144102679643,864.2624048862283,862.746293924347,861.5299011185422,845.2108221324486,833.0326776039476,798.0988876885848,785.702484119349,785.4406509254176
1,1,1257.455126853357,1263.2527915178266,1188.1567799228756,1166.1668336274308,1190.240315898182,1164.9468282845019,1151.162126358299,1116.9985285466566,1119.0910257816595,1114.0,1133.148019570779,1095.4961239857637,1079.66196121389,1123.4551456425688,1108.5885421769767,1091.8177433790092,1127.067828973365,1121.2700792407502,1122.8158194686548,1104.4235430710685,1111.7708277844554,1132.3642925346783,1122.723042906596,1113.492491883741,1047.1621319966903,1095.931751323357,1096.8174963549277,1047.4378099047376,1113.776971925608,1088.0479436266255,1102.0949138754231,1107.6733779931492,1064.0202285014154,1055.7008129226126,1043.6429403362158,1048.7774845369372,1097.6166146987819,1093.5938318131002,1116.6888444060141,1071.5308706824842,1026.459935422233,912.5683005763962,1070.3211141544807,1001.2834504578406,1049.7303202371706,1072.7476893590422,1010.8655801929733,1082.38132596667,1060.441149260464,1033.298566131963,1014.0837294935104,985.0276905105544,982.3614108053945,953.9503524029245,936.100726714376,920.8905408298431,957.1548767310587,902.0756043378734,962.4661944837896,909.6299508115438,873.7437313973179,846.2721722126528,862.1310127304185,779.1220016160257
2,2,1259.627207460293,1224.4772078495746,1189.12436977098,1132.3831659753623,1166.7449495844721,1128.5234028729246,1127.8599621395167,1127.5456848647605,1131.3168280243367,1114.0,1091.447780356509,1106.6402313662102,1099.8331507980993,1077.3241364736023,1075.0466199878772,1104.114677950592,1112.8767638146817,1078.8171757869507,1084.2329697632485,1107.3235152264624,1093.7054313529393,1056.9839681795956,1070.5759169615249,1088.6858998278071,1060.701100315172,1079.0679587995685,1049.8862906629606,1055.1545097858275,1049.3971735707523,1120.4566437126912,1033.03502225701,1053.4928145407855,1043.3852867597375,1029.6099749332222,1004.645848477363,1025.6163475190056,1029.8861346269432,1063.8511034556368,1080.2138866715052,1025.4237371559395,1048.5146847230562,1014.4493585330584,1001.709717468116,1023.7642985685872,1006.3013775902168,1006.4845896739166,985.9235177779183,1013.1061184482055,946.4209203815666,973.8119864632181,980.8791933161565,942.3354415064823,930.3595187825074,962.9745827623166,888.9707662150074,882.9919635463152,808.1714576223302,858.0306205376744,842.0599326033988,829.9849492155527,854.0113204553637,812.5884852756125,793.0700856442851,753.0560628639853
3,2,1229.0186452187459,1236.038458269311,1151.5961222964265,1157.064917839706,1118.3453134513964,1134.1457688631506,1118.0973161163997,1110.5240559123536,1103.5965575545954,1114.0,1115.7428523019212,1091.2120167883554,1091.828107898415,1109.485391278893,1109.4988732634129,1081.6606761635946,1068.5284841247583,1096.3532789270298,1091.7196227234824,1071.5802052543652,1075.154024779063,1099.2213309454464,1078.6421150883798,1049.1665140441492,1063.0985829134404,1048.1511046421258,1065.5704709617742,1056.0722380734294,1055.3830476629566,952.6801654231915,1058.5658495455696,1039.637806274748,1046.9744491379952,1052.108144014872,1064.8389625660186,1050.201601254389,1045.4703856764172,1014.374551550766,992.5974904613611,1037.0539441931087,1017.6218058651014,1033.4878717072565,1021.8284783226311,996.8528084685105,1001.0777956483131,999.7908175287887,1010.0856740174638,978.5304019425017,1027.013011280872,994.3223159989369,963.5630050521634,987.7748424129219,915.5460630789935,877.0752481670831,905.4162558179335,880.9277312456555,908.543345031203,867.9022812498913,877.1033219730245,856.3519802379092,816.8600590246771,785.4870981844093,777.5209526592549,814.6692011114886
4,2,1253.512632361623,1307.6097458156632,1185.551613993437,1183.1483189157025,1217.8858905218601,1161.008736633414,1166.6801086292091,1101.0342371443999,1104.8131480519653,1114.0,1112.4928178048292,1068.8993555890265,1012.0285650626361,1080.1015201579,1100.1896642783001,1062.7032939380247,1105.2269356435122,1119.1017035584546,1108.1252974640295,1121.1230052238832,1091.7956985096928,1146.2785267058496,1096.7181582154435,1117.606336438174,1032.7967304170988,1092.4762110937975,1060.444432010645,1032.7967304170988,1049.9280910338844,1032.7967304170988,1100.7957484828366,1096.4316072602824,1019.9637016025202,1061.4167711318582,989.24764726651,1055.3692959405116,1114.0694502555582,1070.099507035726,1032.7967304170988,1030.7936396858968,984.9421805270063,1032.7967304170988,985.4575279863568,961.6672319899141,1040.3671487056315,1019.4036517587231,964.7523057843973,995.9900009468162,1057.982422572428,981.1383835918817,985.3429254010907,922.1913069734803,914.8358944923835,891.4316622594436,823.5025754037952,833.1244163532485,937.2269377562945,797.6126497246137,849.7004219168614,803.6421810455129,759.0557020499758,736.3805434607468,777.7908800340742,1032.7967304170988
5,2,1194.050187767721,1168.1672304168687,1144.2770128164525,1134.6485348628255,1108.469842039086,1146.9115514405196,1085.336492898366,1103.529402670709,1076.1402345486554,1114.0,1123.8702872329247,1061.4193733051768,1025.0635398950174,1146.004101076046,1087.3186709462632,1067.8611756618297,1106.1527450733836,1120.4256054278978,1111.354037224277,1008.1354479038465,1082.594909936808,1060.0028625111854,1136.8350898568165,1080.8174977777066,989.3750009617343,1079.8226396519522,1074.8540499511828,1071.164830987882,1160.9038004460717,1071.164830987882,1104.6803223784116,1089.5272912212306,1095.1499768833808,1024.3769115708624,1047.3950848329378,1024.3830957204914,1084.6214945445845,1059.5964300258975,1090.8399109939787,1086.5501511689213,1054.4543592238138,1071.164830987882,1055.6024000600169,1048.435909049183,1065.8006599070786,1115.787938269727,1049.6233029073778,1158.3699788701956,990.1450426914191,1066.7892227472635,1056.7611282003281,1006.7803492148687,1027.395177967825,1058.1673643648567,979.2744262550474,1001.9667087214493,1023.1942489249406,970.3878554991985,1053.3835531421648,1053.1178561750103,961.9761439981946,1006.8181491500394,960.1960902908969,1071.164830987882
6,2,1290.4978213703207,1353.1711798048063,1163.291692971072,1144.952590636876,1200.129960299696,1154.2338772033656,1156.4139636073892,1101.3639840755848,1101.6067940202604,1114.0,1089.512263123681,1086.1187237830939,1128.2159966760198,1189.3076260138607,1138.3801857867425,1118.546317150373,1115.1873582623814,1123.7149733830297,1151.8757556247456,1119.8578395862107,1143.345856926559,1147.0606153209771,1169.3532409294285,1126.2883955122509,1032.645348379042,1131.7863896445542,1121.6930195034727,942.3521770634466,1122.4345040231474,1074.9901700439937,1073.9701701656463,1120.801786674911,1098.361372907651,1056.0307867916886,1088.3785145739366,1093.6703343152058,1123.0476230824713,1095.9565867215679,1074.9901700439937,1068.4871029852416,1057.8560922930676,1074.9901700439937,1110.2726811485456,937.7079540467792,1053.2749594456172,1071.026099658008,1015.7706290742894,1083.3338546070102,1082.501643065324,1030.1489051642816,1016.9345774779515,1041.9307346620622,936.0819201401055,966.5005236147421,966.565224472919,923.4447835918352,1074.9901700439937,926.4600132008345,931.8678210141959,879.206024634349,836.2769411499514,853.1890313727904,908.026889860259,1074.9901700439937
7,2,1300.4506572296414,1236.9209413744627,1264.6294015181454,1183.7620760539764,1240.5377088194066,1204.9743378210878,1174.0008452604234,1170.1550903167215,1196.199310860832,1114.0,1201.8121437617253,1176.537777345168,1186.881745260205,1059.5863075502493,1114.1362950470223,1124.454275991275,1187.9137822008688,1114.6004924383724,1132.1704628614284,1181.9255425939944,1129.6042554653839,1108.398111778731,1094.9742687285197,1114.7399830666018,1143.7182092422975,1070.050761471832,1138.3614933473916,1075.6604528617288,1167.4035512420835,1075.6604528617288,1109.4729575840472,1118.7311489295028,1062.5400194853378,1093.8387193283484,1058.0692897101485,1036.1384252794069,1064.7721476434392,1160.7368838321458,1075.6604528617288,1103.9221633775658,1010.5044018551755,1075.6604528617288,1137.8005355552482,1009.9152183358751,1010.8818135033492,1090.5213775123593,994.1509990909589,1124.8222119675133,1132.9579843162905,1064.2800146228908,997.8346826439763,971.7492793864546,1029.7085501247147,827.060140909607,952.455869514752,894.9927590985079,962.4159526838407,881.7528171454057,995.5859748832638,873.6464273376205,916.4674574926548,760.2716825432256,728.6566401963819,830.0727971658702
8,3,1362.6601642614737,1109.3372928602198,1310.353779041479,1109.3372928602198,1222.2931682823455,1229.7897377483018,1181.4714886680204,1129.164541745593,1156.6186971215138,1114.0,1327.360144614473,1237.773521708703,973.9082865225297,1101.4467082982592,1122.036186012081,1117.528095246998,1204.8139548530012,1203.424000562568,1209.2865966798017,1168.651029072867,1109.3372928602198,1109.3372928602198,1180.143686535625,1149.666693472242,1109.3372928602198,1171.0333136626882,1109.3372928602198,1109.3372928602198,1109.3372928602198,1109.3372928602198,1109.3372928602198,1231.7373006810135,1109.3372928602198,1118.5108393856017,1082.702297172521,1215.998950607398,1109.3372928602198,1058.4778986937347,1109.3372928602198,1093.8750920699217,1109.3372928602198,1109.3372928602198,1109.3372928602198,1109.3372928602198,1160.0817849308532,1114.538103782319,972.1457151622975,1109.3372928602198,1109.3372928602198,984.9412334538962,1122.5428865062877,966.5918396399218,933.7141500733889,1109.3372928602198,1109.3372928602198,902.2000142406885,1109.3372928602198,905.85284360453,806.1014157386636,991.263839105511,920.2569475020376,1109.3372928602198,918.5347679476389,1109.3372928602198
9,3,1224.2507206119296,1163.7052211710184,1161.4552949602917,1076.1996672115142,1144.9385579376114,1083.0377873781326,1089.086549949386,1098.6525554692741,1165.6435432529438,1114.0,1034.615627197865,1075.7657563392258,1032.7232357881576,987.258433008782,1028.5742957166015,1092.2143177548298,1056.980781493169,1006.6345119950115,994.6127579898255,1169.2643313160247,1103.9189286173137,1004.1796006085199,971.9041648114642,1016.6464088613357,934.5793325063618,1004.1796006085199,1004.1796006085199,1004.1796006085199,1004.1796006085199,1072.936315189317,945.9803235828442,972.9077508228721,1106.7390137681734,975.3115777743553,954.342305028433,898.1857997230959,909.1634524876806,1076.345303668131,1004.1796006085199,1032.3105978631138,1004.1796006085199,1004.1796006085199,862.3639553085706,1006.4881499974947,965.7304688097745,966.4283935180465,971.0145170410922,1004.1796006085199,1004.1796006085199,950.1871352648119,928.3511361808756,899.3465508290346,867.7131706709106,1045.2646356794305,878.658168162377,894.8347887701343,1004.1796006085199,835.083458051982,859.8342257955206,816.9752163458347,891.4409144224655,802.5595249400726,1004.1796006085199,1004.1796006085199
