node,chatgpt-4o-latest,llama-3.1-405b-instruct,gpt-4o-2024-05-13,gemini-1.5-pro-exp-0801,claude-3-5-sonnet-20240620,gpt-4o-mini-2024-07-18,llama-3.1-70b-instruct,gpt-4-turbo-2024-04-09,athene-70b-0725,gpt-4o-2024-08-06,gemini-1.5-pro-api-0514,mistral-large-2407,llama-3-70b-instruct,yi-large-preview,gpt-4-1106-preview,gpt-4-0125-preview,deepseek-coder-v2-0724,gemma-2-9b-it-simpo,deepseek-v2-api-0628,glm-4-0520,claude-3-opus-20240229,yi-large,reka-core-20240722,gemini-1.5-flash-api-0514,gemma-2-27b-it,qwen2-72b-instruct,yi-1.5-34b-chat,dbrx-next,eureka-chatbot,deepseek-coder-v2,nemotron-4-340b-instruct,claude-3-sonnet-20240229,reka-core-20240501,llama-3-8b-instruct,gpt-4-0613,command-r-plus,reka-flash-20240722,llama-3.1-8b-instruct,gemma-2-9b-it,claude-3-haiku-20240307,mistral-large-2402,command-r,reka-flash-preview-20240611,phi-3-medium-4k-instruct,mixtral-8x22b-instruct-v0.1,mixtral-8x7b-instruct-v0.1,phi-3-small-8k-instruct,gpt-3.5-turbo-0125,gemma-2-2b-it,phi-3-mini-4k-instruct,phi-3-mini-4k-instruct-june-2024,codestral-2405,gemma-1.1-7b-it,dbrx-instruct-preview,snowflake-arctic-instruct
0,1281.1164134356636,1263.7497080375429,1261.752989281234,1256.259116101367,1247.2180033527784,1242.5836423188548,1242.5338711107674,1241.3885673586333,1241.202343211743,1234.9579287669826,1228.7664709851888,1225.6295161149524,1217.5681139811968,1214.7920210082534,1213.5618318893657,1212.0804673362777,1211.376139682221,1209.9391508682374,1206.7583414976275,1202.337320399558,1199.5676542744768,1193.337213819242,1192.460472964352,1190.663675386279,1190.0128618478905,1175.7970213982117,1175.6590143851388,1175.196190180834,1175.196190180834,1171.5923975948747,1171.5760097284112,1164.8488434040985,1162.2423215243184,1160.4888337821346,1159.6711839594145,1159.2376245340133,1158.4630768841785,1157.3979690601018,1156.1547113784238,1150.726779990442,1148.2529282614614,1146.4345827694688,1144.924445521917,1138.1563061442475,1132.7135796705857,1114.0,1097.992100656628,1097.7282414015272,1094.873752096028,1093.8097535116701,1091.6235484967165,1085.8826912680734,1085.028830410121,1047.0251196973095,1021.4825770240077
1,1262.1612387500236,1249.7102164208895,1258.0016062383188,1263.1554286568326,1236.2459291253208,1241.8058808471155,1234.8405104622493,1232.6975728133125,1233.5820333976408,1220.6611212097173,1218.322067810112,1218.3683806076588,1218.760118548014,1221.90589096161,1210.3210088545825,1205.375678838298,1197.0416622170583,1205.246304233021,1203.5818760810803,1209.2262687839138,1200.721480797299,1186.356314794543,1185.3392577300701,1175.5916076584017,1181.183915280224,1179.8209487714478,1178.808817367384,1178.5502665608647,1178.5502665608647,1138.2838288486614,1173.532048538044,1172.3186510888668,1149.8484647191713,1168.9291825839507,1155.9380779727553,1162.7678125764367,1164.5487361236926,1152.3307883727493,1158.8335838826156,1147.8278971764457,1172.3167345297052,1162.1817304948063,1163.186695620893,1134.8864203803223,1160.5252716063846,1114.0,1096.9652130207744,1095.7654025733605,1109.1670320358296,1126.2479040143103,1097.2072267876733,1098.602643458737,1068.895399953867,1110.6739775487754,1178.5502665608647
2,1319.8494682283379,1286.7528500300878,1288.9070549401054,1312.115044126119,1269.0467127483096,1251.677109680238,1303.8220757856175,1253.8670055069283,1319.3577593331881,1225.3409267337993,1223.7989962229333,1205.4324846472464,1250.4683987130759,1216.9528757930475,1232.6507567502144,1200.8437610308379,1119.2925617068727,1218.9556435866482,1218.4987487797896,1305.2239598302933,1246.2462065968805,1181.1860322020739,1209.9481109560375,1219.0608143237982,1193.743304408273,1170.1408188476407,1147.671713790588,1218.9556435866482,1218.9556435866482,1155.9817629384497,1251.7904273383888,1332.5671302305577,1225.3969892431646,1237.8787760128148,1125.2649407603428,1255.39945534315,1180.9217340610367,1262.287453717805,1208.6626680338295,1169.0941488525455,1107.4717963297394,1218.9556435866482,1262.2743764416723,1063.7606978363592,1321.3924346393346,1114.0,1204.154785163866,1200.8850662286577,1139.7118564018106,1218.9556435866482,1081.1675536999587,1218.9556435866482,1218.9556435866482,1218.9556435866482,
3,1114.0,1114.0,1114.0,1114.0,1114.0,1289.8025991416594,1114.0,1114.0,1114.0,1114.0,938.1974008583406,1114.0,1114.0,1114.0,1114.0,1114.0,,,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,,1114.0,,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,,,
8,1114.0,1114.0,1006.4831706690392,1114.0,1076.7524268325333,1114.0,1114.0,1114.0,1114.0,1114.0,1153.7681226471082,1114.0,1075.2884222123753,1114.0,1114.0,1114.0,1114.0,,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1090.560612761273,1114.0,1114.0,,,1149.3946483929808,1114.0,1114.0,1114.0,1251.2897923065666,1114.0,1114.0,1114.0,1114.0,1108.4628041781239,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,,,,
10,1114.0,1114.0,832.1841699813058,1114.0,920.9241967542213,1114.0,1114.0,1114.0,1114.0,1114.0,1493.468328763258,1114.0,1023.0318888348656,,1114.0,1114.0,1114.0,,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1111.7724249614714,1114.0,1114.0,,,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1302.6189907048777,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,,,,
11,1114.0,1114.0,1066.0448462041188,1114.0,1147.203266080683,1146.528941557788,1114.0,1050.8288992521004,1114.0,1114.0,1115.3586826104183,1114.0,1199.2770815620145,1135.5635902872223,1016.3147180533394,1114.0,1114.0,1114.0,1114.0,1114.0,1196.6478699251018,1114.0,1114.0,965.0778432554764,1149.6102517709237,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1033.7542086523283,1164.8354593236604,1208.9543414648247,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,,1114.0,,1114.0,1114.0,
12,1114.0,1114.0,1027.9457126545317,1114.0,1096.922248915555,1137.2610736827369,1114.0,1066.772686415818,1114.0,1114.0,1070.0175523652113,1114.0,1220.7763935109729,1235.0684348550485,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1132.2575562266156,1114.0,1114.0,945.7343544691411,1203.6743513929434,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1068.186571922074,1163.3830635893514,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,,,,,1114.0,
13,1114.0,1114.0,897.484287653767,1114.0,1121.7655213151343,1194.4534343690557,1114.0,1114.0,1114.0,1114.0,1092.2543921915117,1114.0,1118.6322748122811,999.2626081872068,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1199.8642571563137,1114.0,1114.0,1048.0534106387381,1364.8620559958351,1114.0,1114.0,1114.0,,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1103.3677576801563,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,,,,,,
17,1114.0,527.7043941081263,529.1161807115709,1114.0,383.4298421979561,1114.0,1114.0,1114.0,1114.0,1114.0,454.3052012929004,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,,1114.0,,1114.0,1114.0,1114.0,4189.816314575977,599.6280671134659,1114.0,1114.0,,,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,,,1114.0,,1114.0,
