node,depth,chatgpt-4o-latest,gpt-4-1106-preview,gemini-1.5-pro-exp-0801,gpt-4o-mini-2024-07-18,gemma-2-9b-it-simpo,gpt-4o-2024-08-06,gpt-4o-2024-05-13,llama-3.1-405b-instruct,llama-3-70b-instruct,llama-3.1-70b-instruct,gpt-4-turbo-2024-04-09,athene-70b-0725,gemini-1.5-pro-api-0514,mistral-large-2407,yi-large-preview,claude-3-5-sonnet-20240620,gpt-4-0125-preview,gemini-1.5-flash-api-0514,reka-core-20240722,claude-3-opus-20240229,gemma-2-27b-it,deepseek-coder-v2-0724,command-r-plus,gpt-4-0613,dbrx-next,eureka-chatbot,deepseek-v2-api-0628,llama-3-8b-instruct,reka-flash-20240722,gemma-2-9b-it,dbrx-instruct-preview,command-r,llama-3.1-8b-instruct,qwen2-72b-instruct,mistral-large-2402,glm-4-0520,nemotron-4-340b-instruct,claude-3-haiku-20240307,yi-large,mixtral-8x22b-instruct-v0.1,reka-flash-preview-20240611,claude-3-sonnet-20240229,reka-core-20240501,yi-1.5-34b-chat,gemma-2-2b-it,gpt-3.5-turbo-0125,mixtral-8x7b-instruct-v0.1,phi-3-medium-4k-instruct,phi-3-small-8k-instruct,gemma-1.1-7b-it,deepseek-coder-v2,codestral-2405,snowflake-arctic-instruct,phi-3-mini-4k-instruct,phi-3-mini-4k-instruct-june-2024
0,1,1297.8390650447975,1266.37917016466,1264.6181947184325,1261.3255748072286,1259.7625940258897,1259.2618628744572,1252.7590696516402,1250.9389581133698,1245.9697861372038,1245.5291161280525,1241.0691451827213,1236.6053027548567,1229.5270824157058,1224.9816586035197,1224.4672806599688,1218.8012849532229,1211.0681367316922,1205.6659884092771,1202.3235017712395,1201.867763847058,1193.1139990854795,1189.9967009038037,1186.6445042985474,1180.8142879697868,1180.431876789373,1180.431876789373,1175.82752627417,1174.3182695287107,1174.161975305401,1170.9237906458816,1164.7790624813392,1164.3384212569545,1162.9353726243642,1162.8350838150068,1159.3170628611265,1158.6410125568173,1158.2298541437738,1154.793692672609,1154.2267865332233,1152.57334440163,1152.1386178670446,1148.2097372689607,1148.0627674097736,1139.425898335935,1133.770487918902,1123.274196745078,1114.0,1113.8644466812884,1113.2892587462024,1107.4674953310064,1102.759436406133,1097.919473569757,1091.0774074182445,1072.0741371052065,1066.324824679621
1,1,1281.1164134356636,1213.5618318893657,1256.259116101367,1242.5836423188548,1209.9391508682374,1234.9579287669826,1261.752989281234,1263.7497080375429,1217.5681139811968,1242.5338711107674,1241.3885673586333,1241.202343211743,1228.7664709851888,1225.6295161149524,1214.7920210082534,1247.2180033527784,1212.0804673362777,1190.663675386279,1192.460472964352,1199.5676542744768,1190.0128618478905,1211.376139682221,1159.2376245340133,1159.6711839594145,1175.196190180834,1175.196190180834,1206.7583414976275,1160.4888337821346,1158.4630768841785,1156.1547113784238,1047.0251196973095,1146.4345827694688,1157.3979690601018,1175.7970213982117,1148.2529282614614,1202.337320399558,1171.5760097284112,1150.726779990442,1193.337213819242,1132.7135796705857,1144.924445521917,1164.8488434040985,1162.2423215243184,1175.6590143851388,1094.873752096028,1097.7282414015272,1114.0,1138.1563061442475,1097.992100656628,1085.028830410121,1171.5923975948747,1085.8826912680734,1021.4825770240077,1093.8097535116701,1091.6235484967165
2,2,1324.9792500903,1300.0787170625613,1290.3361256638127,1248.8908868494968,1299.4277470486645,1293.3560061376816,1292.2988427605947,1280.9515811950846,1247.6401315324492,1231.7442427079477,1244.589696118167,1223.3895754698988,1238.8152986493315,1270.2821575182047,1301.9398087370591,1246.1099628236498,1294.4536655448906,1253.8464381007211,1225.0342052828373,1190.2983559869049,1183.479419436246,1222.6224736268628,1236.3263989409215,1218.2069411413213,1192.678824508023,1192.678824508023,1180.9166966209036,1192.3251185782624,1162.0929571807692,1145.7323136016284,1192.678824508023,1174.2197263436112,1172.202725571708,1203.2345673974128,1148.644292412043,1156.621109026979,1179.8934354391033,1170.162412279898,1158.5120566251267,1127.2517408886247,1146.6908168462537,1118.7317871106025,1162.4618370115568,1144.2532571350223,1114.1918272804623,1038.96634799105,1114.0,1141.650554475775,1096.026933209836,1163.4239072088537,1050.8870472681651,1114.596628471073,1192.678824508023,1083.1964918848398,1006.6355336240033
3,2,1196.515205433975,1190.390407745329,1149.8114830541094,1167.5682684322212,1124.7294805542156,1202.306968756012,1183.3858925772192,1201.3425950161707,1183.9625504243093,1156.3947506197119,1168.718132384315,1121.1647625558358,1146.7337195491828,1151.0877932848398,1201.1431339607877,1159.8095780208128,1138.552834803889,1112.0359924043642,1179.076091966073,1157.9222169892114,1136.910861119457,1101.2279161114789,1142.9004980554025,1051.0230823524653,1124.7294805542156,1124.7294805542156,1100.008669464764,1116.0749077754008,1216.3037337709816,1126.5435540096603,1124.7294805542156,1079.9636801133242,1098.8157536259077,1089.7406432963826,1095.694751583884,1055.612352795766,1046.4083859155253,1064.9210715644306,1025.0228982462334,1223.6261091979293,1164.7895878405168,1121.0100714922903,1104.7095832955447,1013.2620853097054,1063.922752389472,1070.466440771394,1114.0,1043.3008532310016,1137.1650212107022,1124.7294805542156,1059.0365210042291,1124.7294805542156,1124.7294805542156,1124.7294805542156,1031.9014225259143
4,2,1204.2595833974576,1226.5630610612218,1198.6304961502376,1232.777832353493,1142.1960569251803,1149.717944538033,1140.540481435013,1230.1821650274544,1241.604288723654,1183.6810465677272,1185.2819946288369,1190.1102748058697,1150.8036954677577,1138.8259076815334,1180.5853624494778,1114.1519581132661,1096.928407635015,1135.0676890014884,1130.1349465433643,1081.9912768208692,1163.5813346989707,1198.279705644613,1174.970740996268,1105.0505080885323,1142.1960569251803,1142.1960569251803,1176.1243938384375,1179.522820302641,1117.8705463072306,1152.5758793957853,1142.1960569251803,1149.7927016284011,1127.4058568889234,1134.7115357838493,1146.9334590026895,1165.9647150607943,1124.911739411978,1112.070758041797,1153.1934732414684,1143.639709738852,1160.3612798222757,1072.198542960913,1169.2963240848305,1148.916149129919,1141.8060322038727,1105.9848690431586,1114.0,1101.8846961723204,979.6088401309137,1029.466991990539,1055.0660071668465,1142.1960569251803,,1142.1960569251803,1008.3827092300637
5,2,1327.3893210276556,1300.8067518467817,1300.7791281263646,1319.3592811445476,1219.724164122177,1276.8745390277343,1329.847013726361,1304.037138486738,1253.1552114940062,1228.8023553643848,1266.3411182920445,1277.588054688922,1281.7871516879939,1250.3833062894269,1181.354929549156,1207.1012557087497,1270.5885560370496,1276.9726053482968,1262.8715904075573,1229.0072557016865,1233.2601339253315,1227.231101606233,1155.5687976428885,1307.030165298578,1219.724164122177,1219.724164122177,1140.6442769005077,1281.8080697388605,1211.898274104302,1188.311275288871,1219.724164122177,1170.3993398690309,1117.1506146346694,1219.8130657449447,1198.091160535259,1240.993846352772,1222.5854511478105,1092.6865989922662,1207.0300882054148,1177.5405057924877,1229.633505553656,1082.6587186987392,1133.843412851078,1219.724164122177,1159.2979017455855,1088.783300470136,1114.0,1158.4896309437859,1219.724164122177,1219.724164122177,1158.0858387075848,1219.724164122177,,1219.724164122177,1225.7057467917132
6,2,1212.46714404787,1209.3159976812494,1250.9943508402134,1174.8928947222987,1114.0,1191.2816009740504,1229.8806463631493,1179.7452291949348,1197.8471761599483,1199.2936585489188,1196.948055909238,1195.4241837228026,1193.725426178457,1187.4844023818407,1086.1279859471306,1162.1779208413827,1068.184009012449,1176.563437025181,1113.4629531060782,1148.9860026405297,1164.1576330958665,1093.0861627639174,1161.187096571591,1111.9394786666678,1114.0,1114.0,1096.1426749842467,1056.785623033866,1096.7450003785268,1098.1496583018202,1114.0,1108.9047353492742,1093.8510403240064,972.6303036417637,1131.781133221797,1088.4776385188995,1080.903147953662,1075.9678770310913,1043.4763180140421,1080.533622256507,1047.9589115235576,1101.0699145883418,991.4864858715498,1077.4543188615148,1025.7574337751807,1013.3049176004797,1114.0,1015.9752463776842,1114.0,1114.0,1023.7758875271257,1014.5629153711991,1114.0,1114.0,1003.1317490980982
7,2,1114.0,1114.0,1114.0,4788.894991380754,,1114.0,1200.3873005622706,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1221.7065289752827,1114.0,1071.1635674396657,1114.0,1114.0,1114.0,,1114.0,-2733.927818405895,,,1114.0,1114.0,1114.0,1135.7754300479432,,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,,1114.0,1114.0,1114.0,1114.0,1114.0,,,1114.0,1114.0
8,2,1227.2528745674772,1114.0,1143.443580282559,1229.440993874919,1114.0,1199.6774923104317,1157.0636674412644,1130.2110039644326,1170.5423854131016,1201.5382528592008,1158.804106427323,1124.765245635078,1143.2466026909522,1104.0862867716423,1167.2782770151935,1081.72362184877,1192.301680844741,1170.065209278191,1193.8705483299204,1278.9044906245429,1053.5032166087653,1116.9934963980509,864.0118621593992,1177.6917769366335,,1114.0,1063.7228177434515,1001.6814047144948,1127.2047330093035,1059.6916999477262,,1114.0,1133.2749780163772,1022.29859252913,1114.0,890.8492894746053,1084.9773193334659,1218.0133269990752,1114.0,1114.0,861.2684557228666,1114.0,1114.0,1114.0,1085.3672568469515,1114.0,1114.0,1041.233453379963,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0
9,2,1365.6102485138963,1275.4903874468778,1278.5310667123858,1289.6587082978954,1217.47064737756,1293.9948425043908,1276.4155750374512,1279.0133396710507,1248.6861810804726,1289.5881300578312,1293.7188462459658,1302.6174553856617,1295.8499615507112,1230.492519032874,1263.0415152139472,1304.4942868250669,1264.3364311776245,1217.5101148597046,1209.1369464916625,1261.391470888616,1197.8543078023754,1174.9413770857755,1218.350708026012,1208.4857436311752,1217.47064737756,1217.47064737756,1190.9533536189251,1213.9321145556653,1226.4054050529567,1168.5235130305648,1217.47064737756,1164.178846231127,1195.2304485123877,1250.8957057067905,1168.2716109773269,1143.6360319543185,1186.1570792594127,1202.2212441698248,1224.8026043378952,1127.481044670759,1160.6749883782559,1209.3866533269113,1181.3966007984586,1185.1827106104338,1157.7595085615833,1246.0724176666577,1114.0,1119.4790830293923,1149.0215411180134,1217.47064737756,1185.8140016082048,1143.164233514025,1217.47064737756,1217.47064737756,1084.7401698935605
10,2,1355.0709535483163,1290.6245144785144,1308.4631200319275,1308.0889585018876,1313.2813802003009,1336.4460768749998,1296.6223060318835,1212.047128159413,1251.869085427389,1249.1191095880336,1246.1689657639565,1283.89583660281,1264.445781885288,1269.695452880793,1278.622390754766,1218.5102254478222,1255.9266756938707,1232.3155647497813,1219.6666010654349,1204.7725122163463,1228.7615900779124,1236.6516914660288,1114.626158662299,1176.5357310533543,1206.0803546836707,1206.0803546836707,1208.9983981139108,1188.2728470023717,1127.4005939382541,1213.3617914640554,1206.0803546836707,1178.1806145028308,1159.9388121318905,1126.513796121785,1135.2160183363317,1206.0803546836707,1226.1830315424668,1192.4061113279804,1145.8750963652215,1188.3567090893862,1184.480750007704,1193.5169825389733,1161.671274824429,1190.2740442409095,1119.6743636721517,1145.070425913203,1114.0,1116.642153360696,1083.487246001524,1206.0803546836707,1130.7861106430014,1152.237180686679,1206.0803546836707,1206.0803546836707,1057.0848618273103
11,2,1344.4093739878695,1327.092967895339,1323.8546516157387,1273.0654622309432,1235.8332117563355,1283.2611439419843,1266.675053349274,1345.8090561866143,1335.1644929796182,1339.0244881448157,1258.7076578633705,1271.9057193982887,1256.7917970501658,1324.2434294609209,1207.190839771727,1279.13788045176,1224.6272461937415,1201.107519800259,1210.2774670290858,1284.0950317699826,1282.9516961690806,1240.4420034124823,1159.9398205054777,1230.8789193187667,1235.8332117563355,1235.8332117563355,1242.7194769275243,1174.1987947824164,1204.004543117214,1231.261584285658,,1235.8332117563355,1180.9519033933063,1245.949095715855,1266.6024213940623,1240.8142061325416,1181.8276980930332,1226.5412535901814,1205.1639231897375,1218.5807212254585,1151.5174200166903,1218.1339442195103,1187.602713862445,1164.1116229198662,1205.3934977210547,1226.4103243501713,1114.0,1152.842341861616,1204.1938266346128,1235.8332117563355,1190.7930377344169,1235.8332117563355,1235.8332117563355,1235.8332117563355,1144.0596710967527
12,2,1309.8353818079404,1219.7952624823056,1246.7111486120411,1243.0533810747288,1217.9628423810818,1254.7292427125171,1267.204386770983,1281.8315905175582,1217.3140779358118,1252.8130823156198,1253.7051156729399,1250.5791675057499,1242.6803754157204,1235.7296111309656,1207.5592139222267,1262.162692332311,1220.7438995921702,1209.703953167858,1201.5042714597917,1199.0859247082776,1202.2044237221835,1231.6703349895693,1155.897680209384,1165.1420865575578,1176.5653545101968,1176.5653545101968,1210.888905570063,1152.1225279193447,1150.7994616939804,1155.1033299822202,968.6281098156823,1130.4559505481257,1164.0303575610656,1173.094700144175,1123.833830025526,1196.8785049480748,1171.6556020476137,1155.0956592456491,1201.2264470225673,1091.5079218271908,1129.3024859421907,1160.0002363978574,1176.5937184830807,1173.6803860109687,1075.087840146757,1102.4451804936139,1114.0,1143.0016943545997,1100.403601608029,1103.7371333069389,1211.1159808840157,1073.643939889656,1054.1203385766826,1060.302518736084,1085.5882788613799
