node,gpt-4o-2024-08-06,gpt-3.5-turbo-0613,deepseek-coder-6.7b-base
0,0.6403508771929824,0.34210526315789475,0.24561403508771928
1,0.6666666666666666,0.2,0.2
2,0.5,0.5,0.0
3,0.0,0.0,0.0
4,1.0,1.0,0.0
5,0.0,0.0,0.0
6,0.0,0.0,0.0
7,0.0,0.0,0.0
8,0.0,0.0,0.0
9,0.0,0.0,0.0
10,1.0,0.0,0.0
11,1.0,0.0,0.0
12,1.0,0.0,0.0
13,0.8,0.4,0.6
14,0.0,0.0,0.0
15,1.0,0.5,0.75
16,1.0,0.0,1.0
17,1.0,1.0,1.0
18,1.0,0.5,0.5
19,1.0,0.0,0.0
20,1.0,1.0,1.0
21,1.0,0.0,0.0
22,1.0,0.0,0.0
23,1.0,0.0,0.0
24,1.0,0.0,0.0
25,1.0,0.0,0.0
26,0.2857142857142857,0.0,0.0
27,0.0,0.0,0.0
28,0.0,0.0,0.0
29,0.0,0.0,0.0
30,0.4,0.0,0.0
31,0.6666666666666666,0.0,0.0
32,1.0,0.0,0.0
33,1.0,0.0,0.0
34,1.0,0.0,0.0
35,0.0,0.0,0.0
36,0.0,0.0,0.0
37,0.0,0.0,0.0
38,0.0,0.0,0.0
39,0.6,0.4,0.4
40,0.3333333333333333,0.0,0.0
41,1.0,0.0,0.0
42,0.0,0.0,0.0
43,0.0,0.0,0.0
44,0.0,0.0,0.0
45,1.0,1.0,1.0
46,1.0,1.0,1.0
47,1.0,1.0,1.0
48,1.0,0.5,1.0
49,1.0,1.0,1.0
50,1.0,0.3333333333333333,1.0
51,1.0,0.0,1.0
52,1.0,0.5,1.0
53,1.0,1.0,1.0
54,1.0,0.0,1.0
55,0.7368421052631579,0.42105263157894735,0.0
56,1.0,0.0,0.0
57,1.0,0.0,0.0
58,1.0,0.0,0.0
59,1.0,0.0,0.0
60,1.0,0.0,0.0
61,1.0,0.0,0.0
62,1.0,0.0,0.0
63,0.6,0.6,0.0
64,0.5,1.0,0.0
65,0.0,1.0,0.0
66,1.0,1.0,0.0
67,0.6666666666666666,0.3333333333333333,0.0
68,0.0,1.0,0.0
69,1.0,0.0,0.0
70,1.0,0.0,0.0
71,1.0,0.0,0.0
72,1.0,1.0,0.0
73,1.0,1.0,0.0
74,1.0,1.0,0.0
75,1.0,1.0,0.0
76,1.0,1.0,0.0
77,1.0,1.0,0.0
78,0.5,0.16666666666666666,0.0
79,0.0,0.0,0.0
80,0.6,0.2,0.0
81,0.0,0.0,0.0
82,1.0,0.5,0.0
83,1.0,1.0,0.0
84,1.0,0.0,0.0
85,1.0,0.0,0.0
86,0.0,0.0,0.0
87,0.2,0.6,0.6
88,0.0,1.0,1.0
89,0.0,1.0,1.0
90,0.0,0.0,0.0
91,0.5,0.5,0.5
92,0.0,0.0,0.0
93,1.0,1.0,1.0
94,0.6363636363636364,0.18181818181818182,0.36363636363636365
95,0.0,1.0,0.0
96,0.75,0.0,0.75
97,1.0,0.0,1.0
98,0.6666666666666666,0.0,0.6666666666666666
99,0.0,0.0,0.0
100,1.0,0.0,1.0
101,1.0,0.0,1.0
102,0.5,0.0,0.0
103,0.0,0.0,0.0
104,1.0,0.0,0.0
105,1.0,0.5,0.0
106,1.0,0.0,0.0
107,1.0,1.0,0.0
108,0.5,0.0,0.5
109,0.0,0.0,0.0
110,1.0,0.0,1.0
111,0.631578947368421,0.5263157894736842,0.3157894736842105
112,0.5,0.5,0.0
113,0.0,0.0,0.0
114,1.0,1.0,0.0
115,0.5,0.0,0.0
116,0.0,0.0,0.0
117,1.0,0.0,0.0
118,0.0,0.0,0.0
119,0.0,0.0,0.0
120,1.0,1.0,1.0
121,1.0,1.0,1.0
122,1.0,1.0,1.0
123,0.0,0.0,0.0
124,0.0,0.0,0.0
125,0.0,0.0,0.0
126,1.0,0.5,0.5
127,1.0,1.0,0.0
128,1.0,0.0,1.0
129,1.0,1.0,1.0
130,1.0,1.0,1.0
131,1.0,1.0,1.0
132,1.0,0.6666666666666666,0.0
133,1.0,0.5,0.0
134,1.0,0.0,0.0
135,1.0,1.0,0.0
136,1.0,1.0,0.0
137,0.5,1.0,0.5
138,0.0,1.0,0.0
139,1.0,1.0,1.0
140,0.6363636363636364,0.2727272727272727,0.0
141,0.5,0.0,0.0
142,0.0,0.0,0.0
143,1.0,0.0,0.0
144,0.0,0.0,0.0
145,1.0,0.0,0.0
146,1.0,1.0,0.0
147,0.0,0.0,0.0
148,1.0,1.0,0.0
