,size,depth,capability,distinction,kendall_tau
0,1325,2,"Analyzing and optimizing geometric and algebraic relationships using matrix operations, transformations, and trigonometric principles across various mathematical contexts.",Geometric and algebraic relationship optimization with matrices,0.7999999999999999
1,105,3,Analyzing and manipulating vector operations and relationships in multi-dimensional spaces using geometric and algebraic methods.,Vector operations in multi-dimensional spaces,0.7999999999999999
2,119,3,"Analyzing and solving geometric and algebraic problems using coordinate geometry, complex numbers, and conic sections",Coordinate geometry and conic sections analysis,0.6
3,62,3,Analyzing and transforming geometric and algebraic structures using matrix operations and transformations,Matrix operations in geometric transformations,0.9999999999999999
4,215,3,"Applying geometric, trigonometric, and algebraic principles to solve and optimize problems involving areas, angles, lengths, and coordinates in various geometric figures.",Solving geometric problems with algebraic principles,0.9999999999999999
5,215,3,"Calculating and analyzing geometric properties and dimensions using algebraic, geometric, trigonometric, vector, and combinatorial methods",Geometric properties via algebraic methods,0.9486832980505137
6,135,4,"Calculating and analyzing areas, perimeters, and geometric properties using decomposition, algebraic reasoning, integration, and proportional reasoning",Area and perimeter calculation via decomposition,0.9486832980505137
7,80,5,"Calculating and reasoning about areas, perimeters, and geometric relationships using decomposition, algebraic reasoning, and probabilistic principles",Decomposition and algebra for geometric relationships,0.9486832980505137
8,105,3,"Converting, analyzing, and optimizing geometric and spatial relationships using coordinate systems, angular calculations, and algebraic principles",Coordinate systems and angular calculations,0.9999999999999999
9,67,4,"Analyzing and optimizing geometric properties using algebraic, trigonometric, and complex number principles in circles and coordinate systems",Geometric optimization using algebra and trigonometry,0.7378647873726218
10,62,3,Calculating and applying proportional relationships and conversions across mathematical and geometric contexts,Proportional relationships and conversions,0.7999999999999999
11,168,3,"Optimizing and analyzing mathematical relationships and structures using inequalities, calculus, and transformations",Inequalities and transformations in optimization,0.7999999999999999
12,158,4,"Analyzing and solving geometric and algebraic problems involving sequences, properties, relationships, dimensions, and measurements across various contexts and structures using calculus and transformations",Geometric and algebraic problem-solving with calculus,0.7999999999999999
13,87,5,"Analyzing and optimizing geometric properties and relationships using calculus, algebra, and transformations across various dimensions and contexts",Optimizing properties with calculus,0.7999999999999999
14,51,5,"Applying and solving geometric and algebraic problems involving properties, relationships, dimensions, and measurements of shapes and spaces.",Solving shape and space problems,0.7999999999999999
15,171,3,"Analyzing and applying trigonometric principles, identities, and functions to solve and understand geometric and algebraic problems.",Trigonometric identities and functions analysis,0.5270462766947298
16,103,3,"Applying and analyzing the Pythagorean theorem, geometric theorems, and trigonometric concepts to calculate distances, areas, and solve for unknowns in geometric figures and right triangles.",Pythagorean and trigonometric problem-solving,0.7999999999999999
17,990,2,"Analyzing and manipulating numerical properties, patterns, and expressions using arithmetic, algebraic, geometric, and number theory techniques across various mathematical contexts and systems.",Numerical pattern analysis using arithmetic and number theory,0.9999999999999999
18,130,3,"Performing and analyzing arithmetic operations and manipulations across various numeral systems and formats, including conversions, estimations, and advanced calculations with precision and understanding.",Performing arithmetic in various numeral systems,0.9999999999999999
19,166,3,"Analyzing and manipulating prime factorizations and numerical properties through combinatorial, algebraic, and modular techniques",Exploring prime factorizations with combinatorial methods,0.7999999999999999
20,174,3,"Applying and analyzing modular arithmetic to solve congruences, simplify expressions, and explore patterns and sequences.",Solving congruences with modular arithmetic,0.7999999999999999
21,72,3,Analyzing and manipulating numerical properties and integer values across various mathematical operations and constraints,Manipulating integer properties in operations,0.9999999999999999
22,79,3,Analyzing and applying prime factorizations and the Euclidean algorithm to determine and utilize greatest common divisors and least common multiples in various mathematical contexts.,Utilizing prime factorizations for divisors and multiples,0.7999999999999999
23,90,3,"Analyzing and applying divisibility, integer properties, and number theory for logical reasoning and solving equations",Applying number theory for logical reasoning,0.9486832980505137
24,56,4,Analyzing and applying divisibility and integer properties for logical reasoning and optimization,Logical reasoning and optimization through divisibility,0.7999999999999999
25,142,3,"Manipulating and simplifying numerical expressions and fractions using arithmetic, algebraic, and geometric techniques",Simplifying expressions using arithmetic techniques,0.7999999999999999
26,137,3,"Analyzing and manipulating numerical patterns, sequences, and transformations through systematic reasoning and advanced mathematical techniques",Systematic reasoning of numerical patterns,0.7999999999999999
27,80,4,"Analyzing and optimizing numerical patterns, sequences, and properties through systematic reasoning and manipulation across various numeral systems.",Optimizing patterns and sequences in numeral systems,0.6
28,2004,2,"Optimizing, manipulating, and analyzing mathematical expressions and functions using advanced algebraic, trigonometric, and solving techniques",Advanced algebraic and trigonometric expression optimization,0.9999999999999999
29,581,3,Optimizing and analyzing mathematical expressions and functions through advanced manipulation and solving techniques,Advanced function optimization and solving techniques,0.7999999999999999
30,104,4,"Optimizing expressions and functions using algebraic manipulation, inequalities, and advanced mathematical techniques",Algebraic optimization of expressions and functions,0.39999999999999997
31,477,4,"Analyzing and manipulating mathematical functions, expressions, and systems through evaluation, transformation, and solving techniques across various contexts and types.",Evaluating and transforming mathematical systems,0.7999999999999999
32,63,5,"Analyzing and manipulating mathematical functions and expressions through recursive, exponential, logarithmic, trigonometric, and algebraic techniques and transformations.","Recursive, exponential, and trigonometric function manipulation",0.7999999999999999
33,111,5,Analyzing and manipulating algebraic inequalities and equations to solve problems and determine properties,Algebraic inequality and equation problem-solving,0.7999999999999999
34,64,6,Analyzing and manipulating inequalities and expressions to solve algebraic problems and determine function properties,Solving algebraic problems via inequality and expression analysis,0.6
35,54,5,Analyzing and solving complex mathematical systems and transformations,Complex system and transformation analysis,0.7999999999999999
36,72,5,"Analyzing and solving quadratic functions and equations through transformation, optimization, and discriminant analysis within various mathematical contexts",Quadratic function transformation and optimization,0.9486832980505137
37,1423,3,"Manipulating and analyzing mathematical expressions and equations using algebraic, trigonometric, and advanced mathematical techniques",Algebraic and trigonometric expression manipulation,0.9999999999999999
38,213,4,"Manipulating and simplifying polynomial expressions and equations through interpolation, expansion, factorization, and algebraic identities.",Polynomial manipulation and factorization,0.7999999999999999
39,64,5,"Analyzing and manipulating polynomial expressions and equations using algebraic identities, factorization, and division techniques",Algebraic identities and factorization techniques,0.7999999999999999
40,51,5,"Manipulating and evaluating polynomial expressions and functions through interpolation, simplification, and systematic methods",Interpolation and simplification of polynomials,0.7999999999999999
41,53,5,Factoring and manipulating algebraic expressions and polynomials for solving equations and optimizing mathematical expressions.,Factoring and optimizing algebraic expressions,0.9486832980505137
42,180,4,Manipulating and analyzing quadratic equations and expressions for optimization and determination of zeros.,Quadratic optimization,0.7999999999999999
43,117,5,"Manipulating, solving, and analyzing quadratic equations and algebraic expressions across various forms and contexts",Solving and analyzing quadratic equations in various forms,0.9486832980505137
44,62,5,"Completing the square and manipulating quadratic expressions and equations for analysis, transformation, and optimization.",Completing the square for optimization,0.7999999999999999
45,68,4,"Applying Vieta's formulas and manipulating algebraic, polynomial, and trigonometric expressions to analyze and transform equations and polynomial roots and coefficients",Vieta's formulas and transformations,0.6
46,245,4,Solving and manipulating equations and systems using algebraic techniques and reasoning across various mathematical contexts,Equation solving across contexts,0.9486832980505137
47,57,5,Solving and optimizing systems of linear equations through algebraic manipulation and vector operations,Linear systems optimization via algebra and vectors,0.39999999999999997
48,267,4,"Simplifying and manipulating mathematical expressions and equations using algebraic, combinatorial, and trigonometric techniques",Expression simplification,0.9999999999999999
49,81,5,"Simplifying and manipulating algebraic, rational, and radical expressions and equations using properties of exponents, trigonometric identities, and rationalization techniques.","Exponents, trigonometric identities, and rationalization",0.5270462766947298
50,81,5,"Manipulating and solving expressions and equations using properties of exponents, roots, and inverse functions","Exponents, roots, and inverse functions",0.9999999999999999
51,54,6,"Simplifying and solving expressions and equations using properties of exponents, roots, and inverse functions","Simplifying and solving with exponents, roots, and inverses",0.7999999999999999
52,84,4,Applying and analyzing algebraic techniques for solving and manipulating polynomial equations and expressions,Polynomial equation techniques,0.9999999999999999
53,275,4,"Manipulating and analyzing algebraic, functional, and trigonometric expressions and sequences using advanced mathematical techniques and transformations.",Advanced expression analysis,0.9486832980505137
54,67,5,"Applying and manipulating algebraic expressions and equations to solve and analyze problems involving complex relationships, variables, averages, and ratios.",Complex problem-solving with algebraic equations,0.39999999999999997
55,60,6,"Applying and manipulating algebraic expressions and equations to simplify, solve, and analyze complex mathematical problems involving various operations and relationships.",Simplifying and solving complex algebraic problems,0.39999999999999997
56,681,2,"Analyzing and optimizing mathematical structures and interactions using combinatorial, probabilistic, and statistical techniques",Combinatorial and statistical structure analysis,0.9999999999999999
57,80,3,Analyzing and optimizing mathematical interactions and structures,Mathematical interactions and structures optimization,0.6
58,75,4,"Analyzing, transforming, and optimizing mathematical structures, patterns, and relationships under constraints",Constrained mathematical structure optimization,0.6
59,100,3,"Calculating, analyzing, and optimizing numerical and financial values through arithmetic, proportional reasoning, and data interpretation techniques",Numerical and financial value optimization,0.7999999999999999
60,166,3,Utilizing probabilistic reasoning and combinatorial techniques in diverse mathematical contexts,Probabilistic and combinatorial reasoning,0.9999999999999999
61,151,4,Applying and analyzing probabilistic and combinatorial techniques across diverse mathematical contexts,Probabilistic and combinatorial analysis,0.9999999999999999
62,72,5,"Calculating and applying probabilistic techniques involving integer properties and combinatorial, geometric, and analytical methods",Probabilistic techniques with integer and geometric methods,0.9999999999999999
63,69,6,"Applying combinatorial, geometric, and analytical probability techniques",Combinatorial and geometric probability methods,0.9999999999999999
64,61,7,"Calculating probabilities using combinatorial, geometric, and analytical methods",Calculating probabilities with diverse methods,0.9486832980505137
65,59,8,"Calculating probabilities using combinatorial methods, complementary counting, binomial distributions, and analyzing distinct outcomes, parity, and factors.",Combinatorial probability with complementary and binomial methods,0.9486832980505137
66,86,3,"Analyzing and manipulating mathematical structures, distributions, and statistical measures",Statistical measures and distributions manipulation,0.9999999999999999
67,135,3,"Calculating and analyzing combinatorial structures and constraints with permutations, combinations, and symmetries",Combinatorial structures and constraints analysis,0.9999999999999999
68,57,4,Calculating and analyzing permutations and combinations with constraints and symmetries across various contexts and categories,Permutation and combination analysis with constraints,0.7999999999999999
69,78,4,Calculating combinatorial structures and constraints within sets,Combinatorial set structure calculations,0.9999999999999999
70,71,5,"Calculating combinations, permutations, and subsets with constraints and composite elements",Combinatorial calculations with constraints,0.9999999999999999
71,70,6,Calculating combinations and permutations with various constraints and principles,Constrained combinations and permutations,0.9999999999999999
72,79,3,"Employing combinatorial reasoning and set theory to solve problems involving counting, exclusions, constraints, symmetries, and permutations in discrete structures.",Combinatorial reasoning in discrete structures,0.9486832980505137
73,59,4,"Applying combinatorial reasoning to analyze and solve problems involving constraints, symmetries, and permutations in discrete structures",Constraints and symmetries in discrete structures,0.7999999999999999
