,size,depth,capability,distinction,kendall_tau
0,1325,2,"Analyzing and optimizing geometric and algebraic relationships using matrix operations, transformations, and trigonometric principles across various mathematical contexts.",Geometric and algebraic relationship optimization with matrices,0.7999999999999999
1,105,3,Analyzing and manipulating vector operations and relationships in multi-dimensional spaces using geometric and algebraic methods.,Vector operations in multi-dimensional spaces,0.7999999999999999
2,18,4,Analyzing and applying vector algebra and operations to determine geometric relationships and intersections in various coordinate and vector spaces.,Vector algebra for geometric intersections,0.31622776601683794
3,1,5,Applying the Law of Cosines and manipulating vector equations to determine the coordinates of a geometric point.,Law of Cosines for coordinates,
4,1,5,Applying vector operations and properties of medians in geometric figures.,Medians in vector geometry,
5,1,5,Applying vector cross product properties and linearity in vector operations.,Cross product and linearity,0.6324555320336759
6,2,5,Analyzing vector relationships and intersection conditions in vector spaces,Vector space intersections,0.5976143046671968
7,1,6,Analyzing the relationships between normal vectors and their cross products to determine conditions for coplanarity.,Coplanarity conditions via normal vector cross products,0.5163977794943223
8,1,6,Analyzing the conditions for the intersection of lines in a vector space.,Intersection conditions for lines in vector spaces,0.6324555320336759
9,4,5,Applying vector algebra and operations to analyze and determine geometric relationships and intersections in coordinate systems.,Vector algebra for intersections,0.25819888974716115
10,1,6,Applying vector algebra to determine the intersection of lines in a geometric configuration.,Determining line intersections using vector algebra,
11,3,6,Applying vector concepts and operations to analyze geometric relationships in coordinate systems.,Analyzing geometric relationships with vectors,0.25819888974716115
12,1,7,Applying the concept of vector ratios to determine position vectors in a geometric context.,Vector ratios for position determination,0.6324555320336759
13,2,7,Applying vector operations and algebra to analyze geometric relationships in coordinate systems.,Vector operations for geometric analysis,-0.31622776601683794
14,1,8,Applying vector algebra to derive relationships between distances in geometric figures.,Vector algebra for distance relationships,-0.31622776601683794
15,1,8,Applying vector operations and geometric reasoning to determine relationships between points and lines in a coordinate system.,Vector operations for point-line relationships,
16,2,5,Applying vector algebra and geometric principles,Vector algebra in geometry,
17,1,6,Applying vector algebra and geometric principles to determine collinearity and angle bisectors.,Collinearity and angle bisectors analysis,
18,1,6,Applying vector algebra and geometric principles to determine collinearity and angle bisectors.,Collinearity and angle bisectors analysis,
19,4,5,Analyzing vector relationships in three-dimensional space,3D vector relationships,-0.31622776601683794
20,1,6,Establishing proportional relationships between vectors in three-dimensional space.,Proportional vector relationships,
21,3,6,Analyzing geometric and angular relationships using vector operations,Geometric and angular vector analysis,-0.31622776601683794
22,1,7,Applying geometric reasoning to analyze angles between vectors in a plane.,Planar vector angle reasoning,
23,2,7,Analyzing geometric and angular relationships in three-dimensional space using vector operations,3D vector geometry analysis,-0.31622776601683794
24,1,8,Applying vector operations and properties of cross and dot products to analyze geometric relationships in three-dimensional space.,Using cross and dot products for geometric analysis,
25,1,8,Applying vector operations and properties to analyze relationships between angles and magnitudes in three-dimensional space.,Analyzing angles and magnitudes with vector operations,-0.31622776601683794
26,3,5,Analyzing and applying vector operations and properties in geometric contexts,Vector operations in geometry,0.25819888974716115
27,2,6,Analyzing geometric and relational properties of vectors using vector norms and dot products.,Vector norms and relational analysis,0.25819888974716115
28,1,7,Applying vector operations and properties of dot products to analyze relationships between vectors.,Vector relationship analysis using operations and dot products,-0.31622776601683794
29,1,7,Applying the properties of vector norms and the dot product to analyze the geometric relationship between vectors.,Geometric analysis using vector norms and dot products,0.6324555320336759
30,1,6,Applying vector operations and properties of dot products in geometric contexts.,Dot products in geometry,
31,5,4,Calculating and applying vector operations in three-dimensional space,3D vector operation calculations,-0.11952286093343936
32,2,5,Calculating and applying normal vectors in three-dimensional space,Normal vectors in 3D space,-0.25819888974716115
33,1,6,Calculating the normal vector to a plane defined by points in three-dimensional space and applying the distance formula between a point and a plane.,Point-to-plane normal and distance calculation,
34,1,6,Calculating the normal vector of a plane using the cross product of two vectors derived from given points.,Cross product for plane normal calculation,-0.25819888974716115
35,3,5,Calculating vector projections using dot products and vector norms,Vector projections via dot products,-0.11952286093343936
36,1,6,Calculating the projection of one vector onto another using the dot product and vector norms.,Vector projection using dot product and norms,0.0
37,2,6,Calculating vector projections using dot products and normalization,Dot product and normalization for vector projections,-0.6324555320336759
38,1,7,Calculating the projection of one vector onto another using the dot product and vector normalization.,Projection using dot product and normalization,
39,1,7,Calculating the projection of one vector onto another using the dot product and vector normalization.,Projection using dot product and normalization,-0.6324555320336759
40,14,4,Manipulating and performing operations with vectors in two- and three-dimensional spaces,Vector operations in 2D and 3D,0.6708203932499368
41,13,5,Applying and manipulating vector cross products and identities in three-dimensional space,3D vector cross products,0.6708203932499368
42,8,6,Calculating and applying vector cross products and related identities in three-dimensional space,Vector cross product calculations in 3D space,0.6708203932499368
43,2,7,Calculating vector cross products and determining proportional relationships,Cross product and proportional relationships,0.7745966692414834
44,1,8,Calculating the cross product of vectors.,Cross product calculation,0.6324555320336759
45,1,8,Calculating the cross product of vectors and determining proportional relationships.,Cross product and proportionality,0.31622776601683794
46,1,7,Calculating vector cross products and applying the vector triple product identity.,Cross product and triple product identity,
47,2,7,Calculating and applying properties of vector cross products and unit vectors,Cross product properties and unit vectors,
48,1,8,Calculating the magnitude of the cross product and applying properties of dot products with unit vectors.,Cross product magnitude and dot product with unit vectors,-0.31622776601683794
49,1,8,Calculating the magnitudes of vector cross products and applying the properties of unit vectors.,Vector cross product magnitudes and unit vector properties,0.31622776601683794
50,3,7,Calculating and analyzing the cross product of vectors and deriving equations of planes in three-dimensional space,Cross product and plane equations,0.35856858280031806
51,1,8,Calculating the cross product of vectors and deriving equations of planes in three-dimensional space.,Cross product and plane equations in 3D,-0.25819888974716115
52,2,8,Calculating and analyzing the cross product of vectors in three-dimensional space,Cross product analysis in 3D,0.8366600265340756
53,1,9,Calculating the magnitude of the cross product of two vectors in three-dimensional space.,Cross product magnitude calculation,0.7745966692414834
54,1,9,Calculating the cross product of vectors in three-dimensional space.,Cross product computation,0.25819888974716115
55,5,6,Applying vector product identities and properties for expression manipulation,Expression manipulation using vector product identities,
56,1,7,Expanding vector cross products using distributive properties and known vector identities.,Cross product expansion using distributive laws,
57,4,7,Simplifying expressions using vector product identities and properties,Expression simplification via vector identities,
58,2,8,Applying vector product identities to simplify expressions involving scalar and vector triple products.,Simplifying scalar and vector triple product identities,0.0
59,1,9,Applying the properties of the scalar triple product and vector cross product identities.,Scalar and vector product property application,0.0
60,1,9,Applying the vector triple product identity to simplify expressions involving cross products of vectors.,Vector triple product simplification,
61,2,8,Applying and simplifying properties of vector cross products,Simplifying vector cross product properties,0.0
62,1,9,Applying the properties of the cross product and simplifying vector expressions.,Simplifying vector expressions with cross products,0.0
63,1,9,Applying properties of vector cross products,Utilizing vector cross product properties,
64,1,5,Performing vector addition in a two-dimensional space.,2D vector addition,
65,8,4,Calculating and applying vector projections and reflections in multi-dimensional spaces using geometric properties and orthogonality principles.,Vector projections and reflections in multi-dimensions,0.8366600265340756
66,1,5,Calculating vector projections while recognizing the invariance under scalar multiplication.,Invariance of vector projections under scalar multiplication,0.6324555320336759
67,1,5,Calculating the distance from a point to a line in three-dimensional space using vector projections and orthogonality principles.,Distance to a line using projections and orthogonality,0.6324555320336759
68,2,5,Calculating reflections using vector projections and matrix representations,Reflections via projections and matrices,
69,1,6,Calculating the reflection of a vector over another vector using projection and matrix representation.,Vector reflection over another vector using matrix representation,
70,1,6,Calculating the reflection of a point across a plane using vector projections and normal vectors.,Point reflection across a plane using vector projections,
71,1,5,Applying vector projections and calculating volumes using geometric properties of vectors.,Vector projections and volume calculation,0.6324555320336759
72,3,5,Calculating and applying vector projections and reflections in multi-dimensional spaces,Vector projections and reflections in multi-dimensional spaces,0.7745966692414834
73,2,6,Calculating vector projections and reflections in multi-dimensional spaces,Projections and reflections in multi-dimensional spaces,0.7745966692414834
74,1,7,Calculating vector projections and reflections in three-dimensional space.,3D vector projections and reflections,0.6324555320336759
75,1,7,Calculating vector projections and reflections in a two-dimensional space.,2D vector projections and reflections,0.31622776601683794
76,1,6,Calculating vector projections and applying reflection transformations.,Vector projections and reflection transformations,
77,12,4,Analyzing and parameterizing vector relationships and direction vectors in geometric and three-dimensional contexts,Parameterizing vector directions in 3D,0.8944271909999159
78,2,5,Identifying and analyzing direction vectors based on slope characteristics and ratios.,Direction vectors from slope and ratios,0.8944271909999159
79,1,6,Identifying and analyzing direction vectors based on slope characteristics.,Slope characteristic vector analysis,0.7745966692414834
80,1,6,Identifying and analyzing direction vectors based on slope ratios.,Slope ratio vector analysis,0.7745966692414834
81,5,5,Parameterizing and analyzing vector relationships and collinearity in geometric contexts,Vector relationships and collinearity,0.8366600265340756
82,4,6,Parameterizing and analyzing vector relationships in geometric contexts,Analyzing vector relationships in geometry,0.6708203932499368
83,2,7,Parameterizing lines and solving for vector and scalar relationships,Vector and scalar line relationships,0.5163977794943223
84,1,8,Parameterizing a line through two vectors and solving for scalar coefficients.,Line parameterization via vectors and scalar solutions,0.5163977794943223
85,1,8,Parameterizing a line in vector form and calculating directional vectors based on distance constraints.,Vector line parameterization with distance-based direction,
86,1,7,Determining the intersection of a line and a plane using vector parameterization and orthogonality conditions.,Line-plane intersection via vectors,0.6324555320336759
87,1,7,Identifying valid parameterizations of a line through two points using vector representation and direction vectors.,Line parameterization through points,
88,1,6,Parameterizing lines in vector spaces and determining conditions for collinearity.,Parameterizing lines and collinearity conditions,0.0
89,5,5,Determining and calculating direction vectors and angles in three-dimensional space using vector parameterization and operations.,Direction vectors and angles in 3D space,0.22360679774997896
90,1,6,Determining direction vectors and calculating angles between lines in three-dimensional space.,Angles between lines in 3D space,0.0
91,1,6,Determining the proportionality of direction vectors in vector parameterization.,Proportionality of direction vectors,0.25819888974716115
92,1,6,Calculating the foot of the perpendicular from a point to a line in three-dimensional space using vector operations and parameterization.,Perpendicular foot from point to line,
93,1,6,Determining the direction vector of a line from a projection matrix.,Direction vector from projection matrix,
94,1,6,Calculating the direction vector of a line through two points in three-dimensional space.,Direction vector from two points,0.31622776601683794
95,10,4,Projecting and manipulating vectors to meet specified conditions and achieve desired coordinates.,Vector projection for specific coordinates,-0.10540925533894598
96,1,5,Calculating direction vectors and scaling them to achieve specific coordinates.,Scaling direction vectors for coordinates,-0.31622776601683794
97,3,5,Analyzing and projecting vector components to meet specified conditions,Projecting components for conditions,0.31622776601683794
98,2,6,Applying vector projection methods to analyze vector components,Vector component analysis through projection methods,0.31622776601683794
99,1,7,Applying the projection formula to determine the relationship between vector components.,Relating vector components through projection formula,
