node,depth,gpt-4o-mini-2024-07-18,deepseek-math-7b-instruct,Llama-3.1-8B-Instruct,dart-math-llama3-8b-uniform,Llama-3-8B-Instruct
0,2.0,0.5947169811320755,0.420377358490566,0.4143396226415094,0.3818867924528302,0.2550943396226415
1,3.0,0.4666666666666667,0.38095238095238093,0.41904761904761906,0.3904761904761905,0.23809523809523808
2,4.0,0.2777777777777778,0.05555555555555555,0.0,0.16666666666666666,0.0
3,5.0,0.0,0.0,0.0,0.0,0.0
4,5.0,0.0,0.0,0.0,0.0,0.0
5,5.0,1.0,0.0,0.0,0.0,0.0
6,5.0,1.0,0.5,0.0,0.0,0.0
7,6.0,1.0,1.0,0.0,0.0,0.0
8,6.0,1.0,0.0,0.0,0.0,0.0
9,5.0,0.25,0.0,0.0,0.25,0.0
10,6.0,0.0,0.0,0.0,0.0,0.0
11,6.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0
12,7.0,1.0,0.0,0.0,0.0,0.0
13,7.0,0.0,0.0,0.0,0.5,0.0
14,8.0,0.0,0.0,0.0,1.0,0.0
15,8.0,0.0,0.0,0.0,0.0,0.0
16,5.0,0.0,0.0,0.0,0.0,0.0
17,6.0,0.0,0.0,0.0,0.0,0.0
18,6.0,0.0,0.0,0.0,0.0,0.0
19,5.0,0.0,0.0,0.0,0.25,0.0
20,6.0,0.0,0.0,0.0,0.0,0.0
21,6.0,0.0,0.0,0.0,0.3333333333333333,0.0
22,7.0,0.0,0.0,0.0,0.0,0.0
23,7.0,0.0,0.0,0.0,0.5,0.0
24,8.0,0.0,0.0,0.0,0.0,0.0
25,8.0,0.0,0.0,0.0,1.0,0.0
26,5.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0
27,6.0,0.5,0.0,0.0,0.5,0.0
28,7.0,0.0,0.0,0.0,1.0,0.0
29,7.0,1.0,0.0,0.0,0.0,0.0
30,6.0,0.0,0.0,0.0,0.0,0.0
31,4.0,0.2,0.6,0.8,0.6,0.6
32,5.0,0.0,0.0,0.5,0.0,0.5
33,6.0,0.0,0.0,0.0,0.0,0.0
34,6.0,0.0,0.0,1.0,0.0,1.0
35,5.0,0.3333333333333333,1.0,1.0,1.0,0.6666666666666666
36,6.0,0.0,1.0,1.0,1.0,0.0
37,6.0,0.5,1.0,1.0,1.0,1.0
38,7.0,1.0,1.0,1.0,1.0,1.0
39,7.0,0.0,1.0,1.0,1.0,1.0
40,4.0,0.5714285714285714,0.5714285714285714,0.5,0.5,0.35714285714285715
41,5.0,0.5384615384615384,0.5384615384615384,0.46153846153846156,0.46153846153846156,0.3076923076923077
42,6.0,0.625,0.625,0.5,0.5,0.25
43,7.0,1.0,1.0,1.0,0.5,0.5
44,8.0,1.0,1.0,1.0,1.0,0.0
45,8.0,1.0,1.0,1.0,0.0,1.0
46,7.0,0.0,0.0,0.0,0.0,0.0
47,7.0,0.5,0.5,0.5,0.5,0.5
