node,depth,Qwen__Qwen2.5-32B,Qwen__Qwen2.5-72B,Qwen__Qwen2.5-32B-Instruct,Qwen__Qwen2-VL-72B-Instruct,Qwen__Qwen2.5-72B-Instruct,mlabonne__BigQwen2.5-52B-Instruct,mistralai__Mistral-Large-Instruct-2411,Qwen__Qwen2.5-14B,Qwen__Qwen2.5-Math-72B-Instruct,cognitivecomputations__dolphin-2.9.2-qwen2-72b,upstage__solar-pro-preview-instruct,Qwen__Qwen2.5-Coder-14B,Qwen__Qwen2.5-14B-Instruct,Qwen__Qwen2-Math-72B-Instruct,rhymes-ai__Aria,nvidia__Llama-3.1-Nemotron-70B-Instruct-HF,mlabonne__BigQwen2.5-Echo-47B-Instruct,Qwen__Qwen2-VL-7B-Instruct,Qwen__Qwen2.5-7B-Instruct,Qwen__Qwen2.5-7B,mlabonne__Hermes-3-Llama-3.1-70B-lorablated,CohereForAI__c4ai-command-r-plus-08-2024,mistralai__Mistral-Small-Instruct-2409,allenai__Llama-3.1-Tulu-3-70B,allenai__Llama-3.1-Tulu-3-70B-DPO,Qwen__Qwen2.5-Coder-7B,CohereForAI__aya-expanse-32b,allenai__Llama-3.1-Tulu-3-70B-SFT,Qwen__Qwen2.5-Coder-14B-Instruct,nvidia__Mistral-NeMo-Minitron-8B-Instruct,nvidia__Mistral-NeMo-Minitron-8B-Base,speakleash__Bielik-11B-v2.3-Instruct,mistralai__Codestral-22B-v0.1,speakleash__Bielik-11B-v2.0-Instruct,ibm-granite__granite-3.0-8b-instruct,mlabonne__Meta-Llama-3.1-8B-Instruct-abliterated,abacusai__Liberated-Qwen1.5-14B,Qwen__Qwen2.5-Coder-7B-Instruct,Qwen__Qwen2.5-Math-7B-Instruct,mistralai__Mixtral-8x7B-Instruct-v0.1,meta-llama__Llama-3.2-3B-Instruct,01-ai__Yi-1.5-6B-Chat,cognitivecomputations__dolphin-2.9.1-llama-3-70b,Qwen__Qwen2.5-Math-7B,speakleash__Bielik-11B-v2,ibm-granite__granite-3.0-2b-instruct,ibm-granite__granite-3.0-8b-base,CohereForAI__aya-expanse-8b,Qwen__Qwen2.5-3B-Instruct,argilla-warehouse__Llama-3.1-8B-MagPie-Ultra,Qwen__Qwen2.5-3B,abacusai__bigyi-15b,nvidia__Minitron-8B-Base,Qwen__Qwen2.5-1.5B,01-ai__Yi-Coder-9B-Chat,nvidia__Llama-3.1-Minitron-4B-Depth-Base,Qwen__Qwen2.5-1.5B-Instruct,nvidia__Nemotron-Mini-4B-Instruct,ibm-granite__granite-3.0-2b-base,nvidia__Minitron-4B-Base,meta-llama__Llama-3.2-3B,abacusai__bigstral-12b-32k,google__gemma-2-2b-jpn-it,google__gemma-2-2b-jpn-it_2,allenai__Llama-3.1-Tulu-3-8B-DPO,ibm-granite__granite-7b-instruct,allenai__Llama-3.1-Tulu-3-8B-SFT,HuggingFaceTB__SmolLM2-1.7B,Qwen__Qwen2.5-0.5B,ai21labs__Jamba-v0.1,ibm-granite__granite-3.0-3b-a800m-base,ibm-granite__granite-3.0-3b-a800m-instruct,allenai__OLMoE-1B-7B-0924,Qwen__Qwen2.5-0.5B-Instruct,Qwen__Qwen2.5-0.5B-Instruct_2,allenai__OLMoE-1B-7B-0924-Instruct,meta-llama__Llama-3.2-1B-Instruct,cognitivecomputations__dolphin-2.9.4-llama3.1-8b,ibm-granite__granite-3.0-1b-a400m-instruct,gpt2,gpt2_2,amd__AMD-Llama-135m,amd__AMD-Llama-135m_2,ibm-granite__granite-3.0-1b-a400m-base,Qwen__Qwen2-Math-7B,meta-llama__Llama-3.2-1B,TinyLlama__TinyLlama-1.1B-Chat-v0.6,HuggingFaceTB__SmolLM-135M-Instruct,HuggingFaceTB__SmolLM2-360M-Instruct,HuggingFaceTB__SmolLM2-360M-Instruct_2,TinyLlama__TinyLlama-1.1B-Chat-v0.5,google__mt5-xl,google__mt5-small,HuggingFaceTB__SmolLM2-135M-Instruct,HuggingFaceTB__SmolLM2-135M-Instruct_2,HuggingFaceTB__SmolLM2-135M,allenai__Llama-3.1-Tulu-3-8B-RM,google__switch-base-8,google__mt5-xxl,google__umt5-base,google__mt5-base
0,2.0,0.47378755154133123,0.4649518947575103,0.4565089338307481,0.44669153740428036,0.44217553504810525,0.4402120557628117,0.4140977812684076,0.4140977812684076,0.41134891026899667,0.40506577655605736,0.40369134105635185,0.36186923227959944,0.3612801884940114,0.33811113292754763,0.3365403494993128,0.32986451992931476,0.3257412134301983,0.316709208717848,0.31533477321814257,0.30689181229138035,0.30630276850579224,0.30375024543491064,0.30375024543491064,0.2933438052228549,0.29098763008050266,0.28922049872373845,0.2856862360102101,0.28470449636756334,0.28077753779697623,0.27547614372668366,0.27547614372668366,0.27135283722756726,0.26801492244256825,0.2617317887296289,0.2589829177302179,0.2570194384449244,0.25584135087374826,0.25328882780286666,0.25034360887492635,0.2489691733752209,0.2464166503043393,0.24563125859022186,0.24425682309051638,0.2399371686628706,0.23974082073434125,0.23129785980757903,0.23110151187904968,0.22953072845081485,0.22697820537993324,0.22481837816611036,0.2228548988808168,0.205772629098763,0.20184567052817592,0.20145297467111722,0.19948949538582367,0.19791871195758884,0.19654427645788336,0.1879049676025918,0.18005105046141764,0.1733752208914196,0.17278617710583152,0.17023365403494994,0.16709208717848026,0.16709208717848026,0.16159434517965834,0.16002356175142352,0.15531121146671903,0.15472216768113095,0.15040251325348516,0.14627920675436873,0.13822894168466524,0.1370508541134891,0.1341056351855488,0.13332024347143137,0.13332024347143137,0.12153936775967014,0.11918319261731788,0.11466719026114275,0.11191831926173179,0.11172197133320244,0.11172197133320244,0.11152562340467308,0.11152562340467308,0.11113292754761438,0.1097584920479089,0.1097584920479089,0.107598664834086,0.10700962104849794,0.1050461417632044,0.1050461417632044,0.10484979383467505,0.10465344590614568,0.10465344590614568,0.10445709797761633,0.10445709797761633,0.10347535833496957,0.10347535833496957,0.10111918319261731,0.09915570390732378,0.09876300805026507,0.09483604947967798
1,3.0,0.476802284082798,0.4532476802284083,0.4511063526052819,0.4596716630977873,0.44039971448965026,0.4182726623840114,0.38187009279086365,0.4382583868665239,0.403283369022127,0.4254104211277659,0.43897216274089934,0.3854389721627409,0.3683083511777302,0.3076374018558173,0.3261955745895789,0.3169164882226981,0.31263383297644537,0.35046395431834404,0.32548179871520344,0.3140613847251963,0.32119914346895073,0.31263383297644537,0.3454675231977159,0.27765881513204854,0.27765881513204854,0.3169164882226981,0.31263383297644537,0.2790863668807994,0.30549607423269093,0.3304782298358315,0.3404710920770878,0.29050678087080656,0.2955032119914347,0.2790863668807994,0.291220556745182,0.30906495360456815,0.28122769450392576,0.2790863668807994,0.23269093504639543,0.2669521770164168,0.2940756602426838,0.2790863668807994,0.23911491791577444,0.23768736616702354,0.24411134903640258,0.2755174875089222,0.26124197002141325,0.25553176302640973,0.23197715917202,0.2605281941470378,0.23483226266952176,0.24696645253390434,0.22769450392576732,0.19914346895074947,0.20842255531763026,0.20770877944325483,0.21270521056388295,0.22840827980014275,0.19700214132762311,0.21127765881513205,0.18772305496074232,0.1891506067094932,0.16773733047822983,0.16773733047822983,0.16059957173447537,0.1748750892219843,0.15203426124197003,0.1670235546038544,0.16773733047822983,0.16202712348322626,0.16630977872947894,0.14632405424696646,0.14204139900071378,0.14061384725196288,0.14061384725196288,0.12776588151320487,0.1192005710206995,0.12419700214132762,0.12276945039257674,0.11134903640256959,0.11134903640256959,0.11491791577444682,0.11491791577444682,0.11563169164882227,0.11277658815132048,0.1206281227694504,0.10421127765881513,0.11634546752319772,0.10135617416131334,0.10135617416131334,0.10920770877944326,0.11134903640256959,0.11134903640256959,0.10706638115631692,0.10706638115631692,0.10492505353319058,0.11134903640256959,0.11134903640256959,0.10778015703069237,0.10778015703069237,0.08708065667380442
2,4.0,0.4860813704496788,0.4678800856531049,0.4625267665952891,0.47644539614561027,0.45074946466809424,0.4336188436830835,0.38650963597430404,0.4657387580299786,0.4143468950749465,0.4400428265524625,0.4796573875802998,0.4197002141327623,0.37794432548179874,0.30513918629550324,0.33940042826552463,0.31049250535331907,0.31370449678800855,0.37794432548179874,0.35224839400428265,0.3222698072805139,0.3351177730192719,0.34475374732334046,0.38008565310492504,0.2740899357601713,0.2708779443254818,0.33190578158458245,0.35224839400428265,0.2815845824411135,0.32012847965738755,0.36295503211991437,0.3886509635974304,0.31905781584582443,0.3372591006423983,0.31049250535331907,0.32762312633832974,0.33940042826552463,0.29764453961456105,0.30620985010706636,0.2366167023554604,0.2708779443254818,0.32548179871520344,0.29978586723768735,0.23447537473233404,0.2398286937901499,0.25481798715203424,0.3029978586723769,0.29229122055674517,0.28051391862955033,0.23233404710920771,0.2815845824411135,0.2462526766595289,0.2558886509635974,0.24518201284796573,0.21199143468950749,0.2366167023554604,0.23126338329764454,0.21948608137044967,0.25267665952890794,0.20770877944325483,0.23126338329764454,0.20556745182012848,0.1980728051391863,0.16595289079229122,0.16595289079229122,0.1670235546038544,0.18843683083511778,0.15845824411134904,0.16595289079229122,0.16916488222698073,0.16488222698072805,0.18308351177730192,0.15631691648822268,0.13597430406852248,0.14132762312633834,0.14132762312633834,0.12312633832976445,0.12419700214132762,0.12205567451820129,0.13704496788008566,0.10813704496788008,0.10813704496788008,0.1145610278372591,0.1145610278372591,0.11241970021413276,0.12098501070663811,0.11884368308351177,0.09207708779443255,0.11563169164882227,0.10920770877944326,0.10920770877944326,0.10599571734475374,0.12205567451820129,0.12205567451820129,0.10385438972162742,0.10385438972162742,0.10171306209850108,0.11670235546038545,0.10813704496788008,0.10278372591006424,0.10278372591006424,0.08029978586723768
3,5.0,0.46196403872752423,0.45228215767634855,0.44398340248962653,0.46196403872752423,0.43015214384508993,0.41217150760719223,0.38450899031811897,0.45504840940525587,0.3983402489626556,0.41770401106500693,0.4730290456431535,0.40110650069156295,0.367911479944675,0.2918395573997234,0.330567081604426,0.3084370677731674,0.30567081604426005,0.36376210235131395,0.330567081604426,0.31258644536652835,0.3084370677731674,0.34024896265560167,0.3499308437067773,0.2669432918395574,0.2669432918395574,0.31950207468879666,0.334716459197787,0.27247579529737204,0.32226832641770403,0.35408022130013833,0.3831258644536653,0.3029045643153527,0.326417704011065,0.301521438450899,0.3084370677731674,0.3153526970954357,0.2863070539419087,0.2793914246196404,0.23789764868603042,0.2697095435684647,0.30982019363762103,0.2918395573997234,0.23374827109266944,0.24481327800829875,0.2517289073305671,0.2959889349930844,0.2766251728907331,0.2752420470262794,0.23098201936376211,0.27247579529737204,0.23374827109266944,0.2475795297372061,0.2392807745504841,0.20608575380359612,0.22406639004149378,0.21853388658367912,0.21300138312586445,0.23789764868603042,0.20608575380359612,0.22821576763485477,0.20193637621023514,0.19640387275242047,0.16597510373443983,0.16597510373443983,0.17427385892116182,0.18118948824343015,0.15767634854771784,0.16459197786998617,0.15767634854771784,0.16182572614107885,0.17842323651452283,0.15491009681881052,0.1355463347164592,0.14246196403872752,0.14246196403872752,0.1313969571230982,0.11756569847856155,0.12309820193637622,0.14384508990318118,0.10511756569847856,0.10511756569847856,0.11203319502074689,0.11203319502074689,0.10926694329183956,0.1313969571230982,0.11479944674965421,0.09405255878284924,0.11203319502074689,0.11756569847856155,0.11756569847856155,0.11065006915629322,0.11065006915629322,0.11065006915629322,0.10926694329183956,0.10926694329183956,0.10650069156293222,0.1272475795297372,0.11479944674965421,0.10235131396957123,0.10235131396957123,0.08160442600276625
4,6.0,0.4624277456647399,0.47398843930635837,0.4682080924855491,0.4508670520231214,0.4161849710982659,0.44508670520231214,0.3872832369942196,0.47398843930635837,0.4046242774566474,0.41040462427745666,0.48554913294797686,0.3988439306358382,0.3699421965317919,0.3063583815028902,0.3236994219653179,0.3236994219653179,0.3583815028901734,0.4161849710982659,0.3815028901734104,0.3583815028901734,0.2832369942196532,0.3352601156069364,0.3872832369942196,0.26011560693641617,0.27167630057803466,0.36416184971098264,0.3352601156069364,0.30057803468208094,0.2947976878612717,0.4277456647398844,0.44508670520231214,0.3179190751445087,0.34104046242774566,0.3063583815028902,0.34104046242774566,0.3063583815028902,0.3063583815028902,0.3063583815028902,0.26011560693641617,0.28901734104046245,0.31213872832369943,0.32947976878612717,0.24277456647398843,0.24277456647398843,0.2543352601156069,0.34104046242774566,0.30057803468208094,0.2947976878612717,0.2832369942196532,0.2947976878612717,0.2832369942196532,0.2658959537572254,0.28901734104046245,0.2138728323699422,0.23121387283236994,0.2254335260115607,0.2138728323699422,0.2774566473988439,0.2543352601156069,0.26011560693641617,0.2774566473988439,0.18497109826589594,0.1907514450867052,0.1907514450867052,0.17341040462427745,0.19653179190751446,0.1329479768786127,0.2023121387283237,0.1791907514450867,0.14450867052023122,0.1676300578034682,0.1791907514450867,0.1676300578034682,0.16184971098265896,0.16184971098265896,0.12138728323699421,0.14450867052023122,0.13872832369942195,0.13872832369942195,0.11560693641618497,0.11560693641618497,0.12138728323699421,0.12138728323699421,0.10982658959537572,0.12716763005780346,0.10982658959537572,0.12716763005780346,0.10404624277456648,0.10404624277456648,0.10404624277456648,0.12138728323699421,0.10404624277456648,0.10404624277456648,0.10982658959537572,0.10982658959537572,0.12138728323699421,0.11560693641618497,0.06358381502890173,0.046242774566473986,0.046242774566473986,0.06358381502890173
5,7.0,0.38,0.36,0.38,0.34,0.4,0.38,0.44,0.42,0.36,0.44,0.46,0.42,0.36,0.26,0.3,0.4,0.32,0.38,0.36,0.42,0.24,0.34,0.36,0.28,0.34,0.44,0.3,0.34,0.26,0.44,0.42,0.28,0.3,0.26,0.28,0.26,0.32,0.32,0.18,0.42,0.24,0.34,0.22,0.28,0.2,0.36,0.3,0.36,0.3,0.3,0.28,0.3,0.32,0.14,0.2,0.2,0.22,0.3,0.24,0.34,0.22,0.14,0.18,0.18,0.16,0.26,0.08,0.18,0.12,0.14,0.2,0.22,0.22,0.18,0.18,0.08,0.14,0.18,0.1,0.1,0.1,0.12,0.12,0.12,0.1,0.12,0.12,0.12,0.1,0.1,0.12,0.12,0.12,0.12,0.12,0.14,0.12,0.02,0.02,0.02,0.04
6,7.0,0.46236559139784944,0.5483870967741935,0.4731182795698925,0.4946236559139785,0.44086021505376344,0.46236559139784944,0.3763440860215054,0.5053763440860215,0.43010752688172044,0.40860215053763443,0.4838709677419355,0.40860215053763443,0.3763440860215054,0.2903225806451613,0.3548387096774194,0.2903225806451613,0.3548387096774194,0.43010752688172044,0.3978494623655914,0.3333333333333333,0.2903225806451613,0.3118279569892473,0.41935483870967744,0.25806451612903225,0.24731182795698925,0.34408602150537637,0.3763440860215054,0.3010752688172043,0.3118279569892473,0.45161290322580644,0.4731182795698925,0.3118279569892473,0.3225806451612903,0.26881720430107525,0.3655913978494624,0.27956989247311825,0.26881720430107525,0.3010752688172043,0.3010752688172043,0.26881720430107525,0.3225806451612903,0.3225806451612903,0.26881720430107525,0.23655913978494625,0.3010752688172043,0.3225806451612903,0.3010752688172043,0.25806451612903225,0.26881720430107525,0.2903225806451613,0.3010752688172043,0.26881720430107525,0.26881720430107525,0.23655913978494625,0.24731182795698925,0.23655913978494625,0.22580645161290322,0.24731182795698925,0.24731182795698925,0.22580645161290322,0.3010752688172043,0.24731182795698925,0.1935483870967742,0.1935483870967742,0.20430107526881722,0.16129032258064516,0.1827956989247312,0.1827956989247312,0.1935483870967742,0.17204301075268819,0.15053763440860216,0.15053763440860216,0.12903225806451613,0.15053763440860216,0.15053763440860216,0.16129032258064516,0.15053763440860216,0.12903225806451613,0.16129032258064516,0.13978494623655913,0.13978494623655913,0.11827956989247312,0.11827956989247312,0.11827956989247312,0.15053763440860216,0.12903225806451613,0.12903225806451613,0.10752688172043011,0.10752688172043011,0.10752688172043011,0.12903225806451613,0.0967741935483871,0.0967741935483871,0.10752688172043011,0.10752688172043011,0.11827956989247312,0.12903225806451613,0.07526881720430108,0.043010752688172046,0.043010752688172046,0.07526881720430108
7,6.0,0.4618181818181818,0.44545454545454544,0.43636363636363634,0.46545454545454545,0.43454545454545457,0.4018181818181818,0.3836363636363636,0.4490909090909091,0.39636363636363636,0.42,0.4690909090909091,0.4018181818181818,0.36727272727272725,0.2872727272727273,0.3327272727272727,0.30363636363636365,0.28909090909090907,0.3472727272727273,0.3145454545454546,0.29818181818181816,0.31636363636363635,0.3418181818181818,0.3381818181818182,0.2690909090909091,0.26545454545454544,0.3054545454545455,0.33454545454545453,0.2636363636363636,0.33090909090909093,0.33090909090909093,0.36363636363636365,0.29818181818181816,0.32181818181818184,0.3,0.29818181818181816,0.3181818181818182,0.28,0.27090909090909093,0.2309090909090909,0.2636363636363636,0.3090909090909091,0.28,0.2309090909090909,0.24545454545454545,0.2509090909090909,0.2818181818181818,0.2690909090909091,0.2690909090909091,0.21454545454545454,0.26545454545454544,0.21818181818181817,0.24181818181818182,0.22363636363636363,0.20363636363636364,0.22181818181818183,0.21636363636363637,0.21272727272727274,0.22545454545454546,0.19090909090909092,0.21818181818181817,0.1781818181818182,0.2,0.15818181818181817,0.15818181818181817,0.17454545454545456,0.17636363636363636,0.16545454545454547,0.15272727272727274,0.1509090909090909,0.16727272727272727,0.18181818181818182,0.14727272727272728,0.12545454545454546,0.13636363636363635,0.13636363636363635,0.13454545454545455,0.10909090909090909,0.11818181818181818,0.14545454545454545,0.10181818181818182,0.10181818181818182,0.10909090909090909,0.10909090909090909,0.10909090909090909,0.13272727272727272,0.11636363636363636,0.08363636363636363,0.11454545454545455,0.12181818181818181,0.12181818181818181,0.10727272727272727,0.11272727272727273,0.11272727272727273,0.10909090909090909,0.10909090909090909,0.10181818181818182,0.13090909090909092,0.13090909090909092,0.12,0.12,0.08727272727272728
8,7.0,0.5,0.4608695652173913,0.47391304347826085,0.4782608695652174,0.43478260869565216,0.4608695652173913,0.3869565217391304,0.46956521739130436,0.4,0.4391304347826087,0.508695652173913,0.4434782608695652,0.39565217391304347,0.2826086956521739,0.39565217391304347,0.33043478260869563,0.32608695652173914,0.4,0.3565217391304348,0.33043478260869563,0.3217391304347826,0.3391304347826087,0.391304347826087,0.28695652173913044,0.2782608695652174,0.3652173913043478,0.3695652173913043,0.2826086956521739,0.3739130434782609,0.3782608695652174,0.3739130434782609,0.3347826086956522,0.36086956521739133,0.30869565217391304,0.3347826086956522,0.3782608695652174,0.34347826086956523,0.2956521739130435,0.24782608695652175,0.23043478260869565,0.3782608695652174,0.3,0.2565217391304348,0.25217391304347825,0.27391304347826084,0.2782608695652174,0.30869565217391304,0.2826086956521739,0.23478260869565218,0.2826086956521739,0.2391304347826087,0.2782608695652174,0.2565217391304348,0.20434782608695654,0.2217391304347826,0.25217391304347825,0.24347826086956523,0.25217391304347825,0.20434782608695654,0.2391304347826087,0.1826086956521739,0.2217391304347826,0.17391304347826086,0.17391304347826086,0.2,0.20869565217391303,0.15217391304347827,0.1826086956521739,0.13478260869565217,0.17391304347826086,0.19130434782608696,0.15217391304347827,0.12608695652173912,0.13043478260869565,0.13043478260869565,0.12608695652173912,0.12173913043478261,0.14782608695652175,0.12608695652173912,0.08695652173913043,0.08695652173913043,0.11739130434782609,0.11739130434782609,0.11739130434782609,0.12608695652173912,0.13043478260869565,0.06086956521739131,0.13043478260869565,0.1,0.1,0.11739130434782609,0.10869565217391304,0.10869565217391304,0.11739130434782609,0.11739130434782609,0.12173913043478261,0.14347826086956522,0.16521739130434782,0.1391304347826087,0.1391304347826087,0.08260869565217391
9,8.0,0.3269230769230769,0.3076923076923077,0.38461538461538464,0.36538461538461536,0.36538461538461536,0.36538461538461536,0.25,0.36538461538461536,0.2692307692307692,0.28846153846153844,0.40384615384615385,0.36538461538461536,0.36538461538461536,0.25,0.38461538461538464,0.25,0.2692307692307692,0.2692307692307692,0.3076923076923077,0.2692307692307692,0.28846153846153844,0.34615384615384615,0.34615384615384615,0.2692307692307692,0.28846153846153844,0.2692307692307692,0.34615384615384615,0.23076923076923078,0.40384615384615385,0.38461538461538464,0.25,0.28846153846153844,0.40384615384615385,0.23076923076923078,0.23076923076923078,0.40384615384615385,0.28846153846153844,0.36538461538461536,0.2692307692307692,0.25,0.34615384615384615,0.19230769230769232,0.2692307692307692,0.21153846153846154,0.2692307692307692,0.17307692307692307,0.25,0.25,0.21153846153846154,0.28846153846153844,0.23076923076923078,0.23076923076923078,0.21153846153846154,0.1346153846153846,0.21153846153846154,0.1346153846153846,0.17307692307692307,0.19230769230769232,0.11538461538461539,0.1346153846153846,0.1346153846153846,0.17307692307692307,0.19230769230769232,0.19230769230769232,0.2692307692307692,0.17307692307692307,0.25,0.23076923076923078,0.09615384615384616,0.09615384615384616,0.11538461538461539,0.09615384615384616,0.09615384615384616,0.057692307692307696,0.057692307692307696,0.038461538461538464,0.038461538461538464,0.09615384615384616,0.1346153846153846,0.057692307692307696,0.057692307692307696,0.09615384615384616,0.09615384615384616,0.07692307692307693,0.1346153846153846,0.1346153846153846,0.038461538461538464,0.11538461538461539,0.11538461538461539,0.11538461538461539,0.15384615384615385,0.09615384615384616,0.09615384615384616,0.1346153846153846,0.1346153846153846,0.17307692307692307,0.15384615384615385,0.1346153846153846,0.11538461538461539,0.11538461538461539,0.038461538461538464
