,size,depth,capability,distinction,kendall_tau
0,1247,2,Developing quantitative reasoning and analytical problem-solving skills,Quantitative reasoning and problem-solving skills,0.8333333333333334
1,223,3,Enhancing statistical and probabilistic reasoning and analysis skills,Statistical and probabilistic skills,0.8888888888888888
2,50,4,Enhancing quantitative analysis and reasoning efficiency,Quantitative reasoning efficiency,0.7833494518006403
3,36,5,Analyzing and evaluating statistical and quantitative data for insights and patterns,Extracting insights from statistical data,0.7431605356175383
4,1,6,Analyzing and recalling established rules of sports scoring systems.,Recalling sports scoring rules,
5,3,6,Analyzing statistical data to interpret distributions and evaluate convergence conditions,Interpreting distributions and convergence,0.20412414523193154
6,2,7,Applying statistical reasoning to analyze and interpret data distributions,Interpreting data distributions,0.20412414523193154
7,1,8,Applying statistical reasoning to analyze and interpret data distributions.,Analyzing and interpreting data distributions,0.4714045207910316
8,1,8,Applying statistical reasoning to interpret data distributions.,Interpreting data distributions,0.07453559924999298
9,1,7,Analyzing statistical principles to evaluate the conditions under which distributions converge.,Evaluating distribution convergence conditions,
10,6,6,Analyzing and evaluating temporal and statistical data patterns,Evaluating temporal and statistical patterns,0.47628967220784024
11,2,7,Analyzing temporal patterns and growth trends,Temporal patterns and growth trends,0.35355339059327373
12,1,8,Analyzing seasonal patterns and calendar dates,Seasonal and calendar pattern analysis,
13,1,8,Analyzing exponential growth patterns to determine time intervals.,Exponential growth interval analysis,0.35355339059327373
14,4,7,Analyzing and evaluating statistical properties and relationships in various data contexts,Statistical properties and relationships,0.5
15,1,8,Analyzing and evaluating the validity of statistical statements in a linear regression context.,Validity assessment in linear regression,0.3142696805273545
16,1,8,Analyzing statistical properties of data sets to identify non-zero values.,Non-zero value identification in data sets,0.445435403187374
17,2,8,Analyzing statistical properties and relationships in time series and stochastic processes,Time series and stochastic analysis,0.6236095644623236
18,1,9,Analyzing and evaluating statistical properties of time series models.,Evaluation of time series model properties,
19,1,9,Analyzing statistical properties and relationships in stochastic processes,Statistical analysis of stochastic processes,0.6236095644623236
20,2,6,Evaluating the influence of extreme values and outliers on statistical measures of central tendency,Assessing outliers' impact on central tendency,-0.2357022603955158
21,1,7,Evaluating the impact of extreme values on statistical measures to determine the most appropriate representation of central tendency.,Extreme values' influence on central tendency representation,
22,1,7,Evaluating the impact of outliers on measures of central tendency.,Outliers' effect on central tendency,-0.2357022603955158
23,4,6,Performing statistical analysis and transformation evaluation,Performing statistical analysis and transformations,0.3872983346207417
24,2,7,Applying statistical analysis to standardized scores,Statistical analysis of standardized scores,0.2357022603955158
25,1,8,Calculating and comparing standardized scores using statistical formulas.,Standardized score computation and comparison,
26,1,8,Analyzing the effects of unit transformations on standardized scores.,Unit transformation impact analysis,0.2357022603955158
27,2,7,Analyzing the impact of transformations on statistical measures,Transformation impact on statistics,0.445435403187374
28,1,8,Analyzing the invariance of statistical measures under transformations.,Statistical measure invariance under transformations,0.445435403187374
29,1,8,Analyzing the effects of constant transformations on statistical measures.,Constant transformation effects on statistics,
30,2,6,Analyzing regression models and residuals for statistical insights,Analyzing regression models and residuals,0.19611613513818404
31,1,7,Analyzing regression models to identify unrestricted residual sums of squares.,Identifying unrestricted residual sums in models,0.23570226039551587
32,1,7,Analyzing statistical properties of regression residuals to identify appropriate transformation techniques.,Transforming residuals through statistical analysis,0.0
33,8,6,Analyzing and interpreting quantitative data for insights and stability conditions,Interpreting data for insights and stability,0.35282516450477125
34,7,7,Analyzing and interpreting numerical data to derive insights in astronomical and statistical contexts,Astronomical and statistical data insights,0.40006613209931935
35,1,8,Analyzing vast numerical data to estimate proportions in astronomical contexts,Astronomical data proportion estimation,-0.2357022603955158
36,6,8,Analyzing and interpreting statistical data to assess numerical impacts and derive meaningful insights,Statistical data impact assessment,0.5
37,2,9,Analyzing numerical data and classifications to interpret statistical implications,Interpreting statistical implications,0.5499719409228704
38,1,10,Analyzing numerical data to calculate statistical measures and interpret their implications.,Statistical measure calculation,0.5345224838248488
