node,Qwen2.5-72B-Instruct,Llama-3.1-70B-Instruct,gpt-4o-mini-2024-07-18,claude-3.5-haiku,Llama-3.1-Tulu-3-70B,Qwen2.5-7B-Instruct,Llama-3.1-8B-Instruct,gpt-3.5-turbo,Llama-3.1-Tulu-3-8B
0,0.8524458700882117,0.8516439454691259,0.8235765838011226,0.8227746591820368,0.8203688853247795,0.8147554129911788,0.6744186046511628,0.6543704891740176,0.6423416198877305
1,0.8251121076233184,0.8385650224215246,0.8026905829596412,0.7802690582959642,0.7937219730941704,0.7892376681614349,0.6681614349775785,0.5874439461883408,0.5650224215246636
2,0.78,0.84,0.82,0.82,0.82,0.76,0.74,0.66,0.54
3,0.7222222222222222,0.7777777777777778,0.7777777777777778,0.75,0.8055555555555556,0.6944444444444444,0.6944444444444444,0.6111111111111112,0.5555555555555556
4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,1.0,0.6666666666666666,1.0,0.3333333333333333
6,1.0,0.5,0.5,0.5,1.0,1.0,0.5,1.0,0.0
7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
8,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0
9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10,0.6666666666666666,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.6666666666666666,0.8333333333333334,0.3333333333333333,0.3333333333333333
11,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
12,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
13,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
14,0.5,0.75,0.75,0.75,0.75,0.5,0.75,0.25,0.0
15,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
16,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0
17,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
20,0.5,0.5,0.5,0.5,0.5,0.5,1.0,0.5,0.5
21,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
22,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
23,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.75,1.0
24,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0
25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
26,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
27,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0
28,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0
29,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
30,0.5,1.0,0.0,0.5,0.5,0.0,0.5,0.0,1.0
31,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0
32,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
33,0.5,0.625,0.75,0.625,0.625,0.5,0.5,0.625,0.375
34,0.5714285714285714,0.5714285714285714,0.7142857142857143,0.5714285714285714,0.5714285714285714,0.42857142857142855,0.5714285714285714,0.5714285714285714,0.2857142857142857
35,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
36,0.6666666666666666,0.6666666666666666,0.8333333333333334,0.6666666666666666,0.6666666666666666,0.5,0.5,0.6666666666666666,0.3333333333333333
37,1.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,0.5
38,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0
39,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
40,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
41,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333
42,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
45,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
46,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
47,0.5,0.5,1.0,0.75,0.75,0.75,0.5,0.5,0.25
48,0.3333333333333333,0.3333333333333333,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.3333333333333333
49,0.5,0.5,1.0,1.0,1.0,1.0,1.0,0.5,0.5
50,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
51,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
52,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
53,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0
54,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
55,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
56,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
57,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
58,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
59,1.0,1.0,0.6666666666666666,0.6666666666666666,1.0,0.6666666666666666,1.0,0.6666666666666666,0.6666666666666666
60,1.0,1.0,0.5,0.5,1.0,0.5,1.0,0.5,0.5
61,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
62,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
63,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
64,0.9285714285714286,1.0,0.9285714285714286,1.0,0.8571428571428571,0.9285714285714286,0.8571428571428571,0.7857142857142857,0.5
65,1.0,1.0,1.0,1.0,1.0,1.0,0.6,0.8,0.4
66,1.0,1.0,1.0,1.0,1.0,1.0,0.75,1.0,0.5
67,1.0,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,1.0,0.3333333333333333
68,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
69,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0
70,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
71,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
72,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
73,0.8888888888888888,1.0,0.8888888888888888,1.0,0.7777777777777778,0.8888888888888888,1.0,0.7777777777777778,0.5555555555555556
74,1.0,1.0,1.0,1.0,0.8333333333333334,1.0,1.0,0.8333333333333334,0.5
75,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5
76,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
77,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
78,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,0.5
79,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
80,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333
81,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
82,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
83,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
84,0.6666666666666666,1.0,0.6666666666666666,1.0,0.6666666666666666,0.6666666666666666,1.0,0.6666666666666666,0.6666666666666666
85,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
86,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5
87,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
88,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
89,0.9,0.85,0.75,0.85,0.75,0.8,0.75,0.7,0.7
90,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
91,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
92,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
93,0.5,0.5,0.25,0.75,0.5,0.25,0.25,0.25,0.25
94,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
95,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
96,0.5,0.5,0.5,1.0,0.5,0.5,0.5,0.5,0.5
97,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
98,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
99,1.0,1.0,1.0,0.5,0.5,1.0,1.0,0.5,0.5
100,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
101,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
102,1.0,0.6666666666666666,1.0,1.0,0.6666666666666666,1.0,1.0,0.6666666666666666,0.6666666666666666
103,1.0,0.5,1.0,1.0,0.5,1.0,1.0,0.5,0.5
104,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
105,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0
106,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
107,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
108,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0
109,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
110,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
111,1.0,1.0,0.5,0.5,0.5,0.5,0.5,1.0,0.5
112,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
113,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
114,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
115,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,1.0
116,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
117,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
118,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
119,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
