node,depth,gemma2-2b-it,llama3.2-3b-instruct
0,2.0,0.6166776532630192,0.3833223467369809
1,3.0,0.6689419795221843,0.3310580204778157
2,4.0,0.6263736263736264,0.37362637362637363
3,5.0,0.5,0.5
4,6.0,0.25,0.75
5,7.0,0.0,1.0
6,7.0,0.5,0.5
7,6.0,0.5,0.5
8,7.0,0.5,0.5
9,7.0,0.5,0.5
10,6.0,1.0,0.0
11,5.0,0.6451612903225806,0.3548387096774194
12,6.0,1.0,0.0
13,6.0,0.625,0.375
14,7.0,1.0,0.0
15,8.0,1.0,0.0
16,8.0,1.0,0.0
17,8.0,1.0,0.0
18,7.0,0.5,0.5
19,7.0,0.5,0.5
20,7.0,0.5,0.5
21,8.0,1.0,0.0
22,8.0,0.33333333333333337,0.6666666666666666
23,9.0,0.5,0.5
24,9.0,0.25,0.75
25,10.0,0.0,1.0
26,10.0,0.5,0.5
27,7.0,0.5,0.5
28,7.0,0.5833333333333333,0.4166666666666667
29,8.0,0.5,0.5
30,9.0,1.0,0.0
31,9.0,0.5,0.5
32,10.0,0.5,0.5
33,10.0,0.5,0.5
34,9.0,0.0,1.0
35,8.0,0.625,0.375
36,9.0,0.5,0.5
37,10.0,1.0,0.0
38,10.0,0.0,1.0
39,9.0,0.5,0.5
40,9.0,0.5,0.5
41,9.0,0.8333333333333334,0.16666666666666666
42,10.0,0.5,0.5
43,10.0,1.0,0.0
44,11.0,1.0,0.0
45,11.0,1.0,0.0
46,9.0,0.5,0.5
47,7.0,1.0,0.0
48,8.0,1.0,0.0
49,9.0,1.0,0.0
50,9.0,1.0,0.0
51,8.0,1.0,0.0
52,7.0,0.33333333333333337,0.6666666666666666
53,8.0,0.0,1.0
54,8.0,0.5,0.5
55,9.0,0.5,0.5
56,9.0,0.5,0.5
57,6.0,0.75,0.25
58,7.0,1.0,0.0
59,7.0,0.5,0.5
60,5.0,0.6272727272727272,0.37272727272727274
61,6.0,0.25,0.75
62,7.0,0.0,1.0
63,7.0,0.5,0.5
64,6.0,0.0,1.0
65,6.0,0.0,1.0
66,6.0,0.6875,0.3125
67,7.0,0.5,0.5
68,7.0,1.0,0.0
69,7.0,0.8333333333333334,0.16666666666666666
70,8.0,1.0,0.0
71,8.0,0.5,0.5
72,8.0,1.0,0.0
73,7.0,0.5,0.5
74,8.0,0.25,0.75
75,9.0,0.5,0.5
76,9.0,0.0,1.0
77,8.0,1.0,0.0
78,6.0,0.5,0.5
79,6.0,0.5,0.5
80,7.0,0.5,0.5
81,7.0,0.0,1.0
82,7.0,0.75,0.25
83,8.0,1.0,0.0
84,8.0,0.5,0.5
85,7.0,0.5,0.5
86,6.0,0.5555555555555556,0.4444444444444444
87,7.0,0.5,0.5
88,8.0,0.33333333333333337,0.6666666666666666
89,9.0,0.5,0.5
90,9.0,0.25,0.75
91,10.0,0.0,1.0
92,10.0,0.5,0.5
93,8.0,0.6,0.4
94,9.0,0.5,0.5
95,9.0,1.0,0.0
96,9.0,0.75,0.25
97,10.0,1.0,0.0
98,10.0,0.5,0.5
99,9.0,0.0,1.0
100,7.0,1.0,0.0
101,6.0,0.6,0.4
102,7.0,1.0,0.0
103,7.0,0.5,0.5
104,8.0,0.25,0.75
105,9.0,0.0,1.0
106,9.0,0.5,0.5
107,8.0,0.75,0.25
108,9.0,1.0,0.0
109,9.0,0.5,0.5
110,6.0,0.8125,0.1875
111,7.0,1.0,0.0
112,7.0,0.7857142857142857,0.21428571428571427
113,8.0,0.5,0.5
114,8.0,1.0,0.0
115,8.0,1.0,0.0
116,8.0,0.5,0.5
117,8.0,1.0,0.0
118,8.0,0.75,0.25
119,9.0,0.5,0.5
120,9.0,1.0,0.0
121,6.0,0.7333333333333334,0.26666666666666666
122,7.0,1.0,0.0
123,7.0,0.7142857142857143,0.2857142857142857
124,8.0,0.875,0.125
125,9.0,0.5,0.5
126,9.0,1.0,0.0
127,10.0,1.0,0.0
128,10.0,1.0,0.0
129,10.0,1.0,0.0
130,8.0,0.5,0.5
131,8.0,0.25,0.75
132,9.0,0.0,1.0
133,9.0,0.5,0.5
134,8.0,0.5,0.5
135,8.0,0.0,1.0
136,8.0,1.0,0.0
137,9.0,1.0,0.0
138,9.0,1.0,0.0
139,10.0,1.0,0.0
140,10.0,1.0,0.0
141,8.0,1.0,0.0
142,9.0,1.0,0.0
143,9.0,1.0,0.0
144,4.0,0.74,0.26
145,5.0,0.7291666666666667,0.2708333333333333
146,6.0,1.0,0.0
147,6.0,1.0,0.0
148,6.0,1.0,0.0
149,6.0,0.8333333333333334,0.16666666666666666
150,7.0,1.0,0.0
151,7.0,0.75,0.25
152,8.0,0.5,0.5
153,8.0,1.0,0.0
154,6.0,0.5,0.5
155,6.0,0.5,0.5
156,6.0,0.5,0.5
157,6.0,0.7,0.3
158,7.0,1.0,0.0
159,7.0,0.625,0.375
160,8.0,1.0,0.0
161,9.0,1.0,0.0
162,9.0,1.0,0.0
163,8.0,0.25,0.75
164,9.0,0.5,0.5
165,9.0,0.0,1.0
166,6.0,0.6875,0.3125
167,7.0,1.0,0.0
168,7.0,0.6428571428571428,0.35714285714285715
169,8.0,1.0,0.0
170,8.0,0.5,0.5
171,8.0,0.6,0.4
172,9.0,1.0,0.0
173,10.0,1.0,0.0
174,10.0,1.0,0.0
175,9.0,0.33333333333333337,0.6666666666666666
176,10.0,0.5,0.5
177,10.0,0.5,0.5
178,10.0,0.0,1.0
179,6.0,0.75,0.25
180,7.0,1.0,0.0
181,7.0,0.5,0.5
182,5.0,1.0,0.0
183,4.0,0.6071428571428572,0.39285714285714285
184,5.0,0.5,0.5
185,5.0,0.0,1.0
186,5.0,1.0,0.0
187,5.0,1.0,0.0
188,5.0,1.0,0.0
189,6.0,1.0,0.0
190,6.0,1.0,0.0
191,5.0,1.0,0.0
192,5.0,0.8333333333333334,0.16666666666666666
193,6.0,0.5,0.5
194,6.0,1.0,0.0
195,6.0,1.0,0.0
196,5.0,0.4642857142857143,0.5357142857142857
197,6.0,1.0,0.0
198,6.0,0.0,1.0
199,6.0,0.5,0.5
200,7.0,1.0,0.0
201,7.0,0.0,1.0
202,6.0,0.5,0.5
203,6.0,0.0,1.0
204,6.0,1.0,0.0
205,6.0,0.41666666666666663,0.5833333333333334
206,7.0,0.30000000000000004,0.7
207,8.0,0.5,0.5
208,8.0,0.5,0.5
209,8.0,0.5,0.5
210,8.0,0.0,1.0
211,8.0,0.0,1.0
212,7.0,1.0,0.0
213,6.0,0.5,0.5
214,5.0,0.625,0.375
215,6.0,0.5,0.5
216,6.0,0.6666666666666667,0.3333333333333333
217,7.0,1.0,0.0
218,7.0,0.5,0.5
219,7.0,0.5,0.5
220,4.0,0.6941176470588235,0.3058823529411765
221,5.0,0.6901408450704225,0.30985915492957744
222,6.0,0.6818181818181819,0.3181818181818182
223,7.0,1.0,0.0
224,8.0,1.0,0.0
225,8.0,1.0,0.0
226,7.0,0.0,1.0
227,7.0,1.0,0.0
228,7.0,0.75,0.25
229,8.0,1.0,0.0
230,8.0,0.5,0.5
231,7.0,0.5,0.5
232,8.0,0.5,0.5
233,8.0,0.5,0.5
234,7.0,0.6666666666666667,0.3333333333333333
235,8.0,0.5,0.5
236,9.0,1.0,0.0
237,9.0,0.0,1.0
238,8.0,1.0,0.0
239,6.0,0.7017543859649122,0.2982456140350877
240,7.0,0.69,0.31
241,8.0,1.0,0.0
242,8.0,0.9,0.1
243,9.0,1.0,0.0
244,10.0,1.0,0.0
245,10.0,1.0,0.0
246,11.0,1.0,0.0
247,11.0,1.0,0.0
248,11.0,1.0,0.0
249,9.0,0.5,0.5
250,8.0,1.0,0.0
251,8.0,0.5,0.5
252,9.0,0.5,0.5
