subset,scores,kendall_tau,num_instances
abstract_algebra,"claude-3.5-haiku          0.66
gpt-3.5-turbo             0.41
gpt-4o-mini-2024-07-18    0.67
Llama-3.1-70B-Instruct    0.74
Llama-3.1-8B-Instruct     0.43
Llama-3.1-Tulu-3-70B      0.66
Llama-3.1-Tulu-3-8B       0.35
Qwen2.5-72B-Instruct      0.78
Qwen2.5-7B-Instruct       0.64
dtype: float64",0.8733260632194672,100
anatomy,"claude-3.5-haiku          0.770370
gpt-3.5-turbo             0.733333
gpt-4o-mini-2024-07-18    0.837037
Llama-3.1-70B-Instruct    0.800000
Llama-3.1-8B-Instruct     0.725926
Llama-3.1-Tulu-3-70B      0.822222
Llama-3.1-Tulu-3-8B       0.696296
Qwen2.5-72B-Instruct      0.829630
Qwen2.5-7B-Instruct       0.718519
dtype: float64",0.5555555555555556,135
astronomy,"claude-3.5-haiku          0.907895
gpt-3.5-turbo             0.743421
gpt-4o-mini-2024-07-18    0.888158
Llama-3.1-70B-Instruct    0.934211
Llama-3.1-8B-Instruct     0.763158
Llama-3.1-Tulu-3-70B      0.940789
Llama-3.1-Tulu-3-8B       0.776316
Qwen2.5-72B-Instruct      0.927632
Qwen2.5-7B-Instruct       0.835526
dtype: float64",0.7222222222222222,152
business_ethics,"claude-3.5-haiku          0.76
gpt-3.5-turbo             0.72
gpt-4o-mini-2024-07-18    0.78
Llama-3.1-70B-Instruct    0.82
Llama-3.1-8B-Instruct     0.70
Llama-3.1-Tulu-3-70B      0.80
Llama-3.1-Tulu-3-8B       0.70
Qwen2.5-72B-Instruct      0.80
Qwen2.5-7B-Instruct       0.78
dtype: float64",0.8413753371192062,100
clinical_knowledge,"claude-3.5-haiku          0.837736
gpt-3.5-turbo             0.762264
gpt-4o-mini-2024-07-18    0.849057
Llama-3.1-70B-Instruct    0.871698
Llama-3.1-8B-Instruct     0.773585
Llama-3.1-Tulu-3-70B      0.856604
Llama-3.1-Tulu-3-8B       0.754717
Qwen2.5-72B-Instruct      0.860377
Qwen2.5-7B-Instruct       0.815094
dtype: float64",1.0,265
college_biology,"claude-3.5-haiku          0.895833
gpt-3.5-turbo             0.756944
gpt-4o-mini-2024-07-18    0.951389
Llama-3.1-70B-Instruct    0.958333
Llama-3.1-8B-Instruct     0.826389
Llama-3.1-Tulu-3-70B      0.909722
Llama-3.1-Tulu-3-8B       0.777778
Qwen2.5-72B-Instruct      0.944444
Qwen2.5-7B-Instruct       0.847222
dtype: float64",0.8333333333333334,144
college_chemistry,"claude-3.5-haiku          0.67
gpt-3.5-turbo             0.51
gpt-4o-mini-2024-07-18    0.63
Llama-3.1-70B-Instruct    0.66
Llama-3.1-8B-Instruct     0.48
Llama-3.1-Tulu-3-70B      0.70
Llama-3.1-Tulu-3-8B       0.52
Qwen2.5-72B-Instruct      0.69
Qwen2.5-7B-Instruct       0.59
dtype: float64",0.5555555555555556,100
college_computer_science,"claude-3.5-haiku          0.77
gpt-3.5-turbo             0.57
gpt-4o-mini-2024-07-18    0.79
Llama-3.1-70B-Instruct    0.79
Llama-3.1-8B-Instruct     0.59
Llama-3.1-Tulu-3-70B      0.83
Llama-3.1-Tulu-3-8B       0.57
Qwen2.5-72B-Instruct      0.83
Qwen2.5-7B-Instruct       0.75
dtype: float64",0.8413753371192062,100
college_mathematics,"claude-3.5-haiku          0.60
gpt-3.5-turbo             0.44
gpt-4o-mini-2024-07-18    0.66
Llama-3.1-70B-Instruct    0.74
Llama-3.1-8B-Instruct     0.47
Llama-3.1-Tulu-3-70B      0.65
Llama-3.1-Tulu-3-8B       0.30
Qwen2.5-72B-Instruct      0.67
Qwen2.5-7B-Instruct       0.65
dtype: float64",0.8733260632194672,100
college_medicine,"claude-3.5-haiku          0.768786
gpt-3.5-turbo             0.699422
gpt-4o-mini-2024-07-18    0.815029
Llama-3.1-70B-Instruct    0.809249
Llama-3.1-8B-Instruct     0.716763
Llama-3.1-Tulu-3-70B      0.809249
Llama-3.1-Tulu-3-8B       0.722543
Qwen2.5-72B-Instruct      0.843931
Qwen2.5-7B-Instruct       0.722543
dtype: float64",0.6859943405700353,173
