node,depth,mean_kendall_tau,std_kendall_tau,num_instances
Employing advanced analytical reasoning and quantitative techniques for complex problem-solving and decision-making across scientific domains.,2,0.9172438786981412,0.012324853201562529,5093
Analyzing and mastering complex thermodynamic systems and advanced analytical techniques for evaluating chemical properties and reaction dynamics.,3,0.8625437765496068,0.016478374689159334,1401
Analyzing and optimizing complex thermodynamic systems and molecular interactions.,4,0.8585490579798921,0.01781712773254037,934
Evaluating and optimizing molecular behavior and energy changes through advanced thermodynamic analysis.,5,0.8369511344516115,0.018947546074109017,723
Analyzing and applying advanced thermodynamic and gas laws to evaluate molecular behavior and energy changes in complex systems.,6,0.7246833559395395,0.030189116914246146,173
"Analyzing and applying gas laws to evaluate relationships among pressure, volume, temperature, and gas properties in both ideal and non-ideal conditions.",7,0.5344392040061813,0.05901864906743893,50
Applying advanced thermodynamic principles to analyze and quantify gas behavior and energy changes in complex systems.,7,0.6489051873882411,0.036355063300430326,93
Optimizing energy efficiency through advanced thermodynamic analysis and evaluation of molecular behavior and phase transitions in dynamic systems.,6,0.8146835251288724,0.02293429095654932,550
"Applying advanced thermodynamic principles and analytical techniques to optimize energy efficiency, analyze temperature relationships, and evaluate material behavior in dynamic systems.",7,0.762531404356556,0.02918844845076847,230
Integrating advanced thermodynamic analysis and heat transfer evaluation to optimize thermal performance and energy efficiency across various systems.,8,0.5281939236639726,0.05742164131778507,52
Applying advanced thermodynamic principles and heat transfer analysis to optimize energy transfer and system performance in thermal and fluid dynamics.,8,0.6747553889750154,0.04172701292109145,81
"Applying advanced thermodynamic analysis and principles to evaluate energy transformations, molecular behavior, reaction kinetics, and phase transitions across various systems.",7,0.7474960096928015,0.02822146037554363,320
"Analyzing and applying thermodynamic principles to evaluate reaction kinetics, equilibrium states, and energy transformations.",8,0.4023759425788045,0.07069805567931854,55
Applying advanced thermodynamic analysis to evaluate phase transitions and fluid properties in complex multi-component systems.,8,0.5702050840894543,0.05494685105454863,55
"Applying advanced thermodynamic principles to analyze, calculate, and evaluate phase transitions, energy changes, and properties in fluid systems under varying conditions.",9,0.5481327069884063,0.05624690103567799,52
"Applying advanced thermodynamic analysis to evaluate energy relationships, transformations, and properties in various systems.",8,0.6178162909820569,0.04439293411221107,72
Mastering advanced fluid dynamics and thermodynamics for comprehensive analysis and optimization of transport phenomena and energy exchange in complex systems.,5,0.789383880455869,0.02777307830729469,211
Applying advanced principles of heat transfer and fluid dynamics for optimizing thermal energy exchange and transformations.,6,0.6378951869441373,0.046412768653155655,56
"Mastering advanced analytical and mathematical techniques for evaluating chemical properties, reaction dynamics, and thermodynamic behaviors across diverse contexts.",4,0.7841535465647835,0.026460329845341354,467
Analyzing chemical equilibria and calculating pH in aqueous solutions.,5,0.47616018384076636,0.07100914348241551,65
"Evaluating and applying advanced kinetic, thermodynamic, and stoichiometric principles to analyze reaction dynamics and predict outcomes.",5,0.6310942716326086,0.037626821955519085,80
Applying advanced stoichiometric analysis and thermodynamic principles to solve complex quantitative problems in chemical contexts.,5,0.5873675300657066,0.04629924159490732,105
"Mastering advanced analytical and mathematical techniques for evaluating gas behavior, phase transitions, and reaction dynamics in complex physical chemistry systems.",5,0.5252601921963598,0.057611051993060505,66
"Employing advanced analytical reasoning and mathematical techniques to evaluate, interpret, and optimize complex systems across multiple scientific domains.",3,0.885805293439847,0.014235828138527853,1794
Mastering advanced analytical reasoning and mathematical techniques for interpreting and optimizing complex optical phenomena.,4,0.6932042574730236,0.03403533799314223,215
Analyzing and optimizing optical properties through advanced mathematical and geometric reasoning.,5,0.6448109487043532,0.04364111355568341,91
Analyzing and calculating optical properties through advanced mathematical and geometric reasoning.,6,0.5110131991627485,0.05828094518384336,58
Analyzing and interpreting complex optical phenomena through advanced mathematical techniques and principles.,5,0.5022014509850962,0.05461831598033683,92
Mastering advanced optical analysis and application of mathematical principles to evaluate and understand the behavior of polarized light in anisotropic materials.,6,0.39007370611700776,0.07117114320519345,54
Employing advanced analytical and mathematical reasoning for complex system evaluation and dynamic modeling.,4,0.7739700132210978,0.02374973998777274,286
"Employing advanced mathematical reasoning and techniques for complex analysis, modeling, and interpretation of dynamic systems and functions across various mathematical domains.",5,0.6881348597221432,0.037602881742862956,123
Integrating and applying advanced analytical and mathematical techniques to model and solve complex dynamic systems.,6,0.5458072036372242,0.04866141465792532,50
Mastering advanced analytical techniques for evaluating complex systems through mathematical and physical principles.,5,0.741904765354164,0.029910523240897203,163
"Mastering advanced analytical techniques for optimizing and evaluating complex systems across mathematical, physical, and communication domains.",6,0.583562061950207,0.045743317236228986,70
Integrating advanced mathematical analysis and principles of physics to evaluate and interpret complex wave phenomena and dynamic behaviors in oscillatory systems.,6,0.6951920529868699,0.035083842521413874,93
Integrating advanced analytical reasoning and techniques to evaluate and interpret complex scientific data across multiple domains.,4,0.8003939882432217,0.023642502756369237,393
Integrating advanced analytical reasoning and precise measurement techniques for evaluating complex physical systems and scientific data.,5,0.6232029198414952,0.04745671730397178,89
Integrating advanced analytical techniques to evaluate energy dynamics and particle interactions in complex physical systems.,6,0.4831405633204805,0.05878186809291624,57
Integrating and interpreting complex scientific data through advanced analytical techniques.,5,0.7233777986692573,0.03194878937558458,84
"Analyzing and integrating complex interactions of energy, atomic structures, and quantum principles in advanced scientific systems.",6,0.7053380924267231,0.03245998923802137,65
Applying advanced analytical reasoning to interpret complex physical phenomena and interactions across various scientific domains.,5,0.5002197180126191,0.055458536689313845,53
Applying advanced quantum mechanics to analyze and solve complex atomic and molecular problems through detailed calculations and evaluations.,5,0.5619136072209259,0.052533779008835504,121
Analyzing and applying advanced quantum mechanics to solve complex problems in atomic and molecular systems.,6,0.5406412384708306,0.05388571428108615,100
Analyzing and applying advanced quantum mechanics to interpret atomic systems and calculate energy properties.,7,0.45683474657917267,0.06562572527103738,82
Mastering advanced analysis and application of electromagnetic principles and mathematical techniques in evaluating and optimizing complex energy systems.,4,0.7806042015227612,0.02516633960437749,405
"Mastering advanced analysis and optimization of electrical systems through deep reasoning and expert-level application of electromagnetic principles, circuit dynamics, and performance metrics.",5,0.7486563584493329,0.028120602057236044,221
analyzing and applying advanced electromagnetic principles and mathematical techniques to evaluate complex interactions and transformations in energy systems,5,0.6532825601259096,0.03845648833829486,184
Applying advanced analytical techniques to evaluate and calculate complex electrostatic and electrochemical interactions.,6,0.5800514065618371,0.04452980049937484,127
Analyzing and applying advanced principles of electrostatics to evaluate interactions and fields in complex systems.,7,0.5414319683045963,0.05678652539664175,95
"Analyzing and applying advanced electrostatic principles to evaluate forces, charge distributions, and interactions in complex systems.",8,0.5380436599078186,0.047252431107490916,60
Mastering advanced analytical reasoning and mathematical modeling to evaluate and optimize complex dynamic systems across various physical domains.,4,0.796991339812786,0.021936409677495317,495
Applying advanced analytical reasoning and mathematical techniques to solve complex biomechanical and dynamic motion problems.,5,0.5302653937485636,0.05214833062040029,73
Mastering the analysis and application of advanced mathematical principles and physical laws in rotational dynamics and circular motion to solve complex problems.,5,0.49428099349005583,0.058521298709140177,55
Employing advanced analytical reasoning and mathematical modeling to solve complex physical problems and analyze dynamic systems.,5,0.5585892315035458,0.05587654872869976,76
"Analyzing and applying advanced principles of physics to evaluate forces, motion, energy interactions, and oscillatory behavior in dynamic systems.",5,0.5269794444402055,0.05624430061019613,59
Mastering advanced gravitational physics and mechanics for analyzing celestial motion and energy transformations.,5,0.5450715836772665,0.059471955861159234,52
Mastering advanced analytical and quantitative reasoning for complex problem-solving and informed decision-making.,3,0.8653386711572039,0.01358176391025294,1898
Mastering advanced analytical and mathematical techniques for complex problem-solving and decision-making.,4,0.7771798341460142,0.026518908461417308,344
Mastering advanced mathematical and statistical reasoning for complex analysis and decision-making.,5,0.7343123876801423,0.029445010613672298,178
