node,depth,mean_kendall_tau,std_kendall_tau,num_instances
Developing quantitative reasoning and analytical problem-solving skills,2,0.6889768057318046,0.07361390843338625,1247
Enhancing statistical and probabilistic reasoning and analysis skills,3,0.6708250454013658,0.11355947885812687,223
Analyzing and applying probabilistic and statistical reasoning and techniques,4,0.5884741735942225,0.1261790916888904,76
Utilizing mathematical reasoning and problem-solving principles,3,0.693829762494753,0.08624317002053876,566
Analyzing and applying mathematical and algebraic principles and structures,4,0.6488400379559183,0.10264419736024531,296
Utilizing analytical reasoning and mathematical interpretation skills,5,0.632299333553701,0.12061482857224286,75
Analyzing and interpreting numerical and mathematical systems and operations,6,0.6591517366149438,0.12801395995780257,64
Applying mathematical reasoning and problem-solving techniques,4,0.7193023397108966,0.09853604278915591,270
Performing mathematical manipulations and problem-solving through algebraic and arithmetic techniques,5,0.3789075443244661,0.16233518509020992,105
Utilizing mathematical reasoning to solve complex problems,5,0.7484360137640677,0.0899451014020354,165
Analyzing and solving mathematical and logical problems and relationships across various contexts,6,0.6824162980548283,0.09687317912364854,103
"Applying mathematical reasoning and principles to solve diverse quantitative, functional, and scientific problems",6,0.5458091687821355,0.12857487764856027,62
Conducting comprehensive quantitative reasoning and analysis,3,0.7251290454508748,0.107835208264137,458
Analyzing and calculating financial and quantitative metrics,4,0.665357824408634,0.11578204548811702,123
Performing advanced mathematical and quantitative reasoning,4,0.593965973924207,0.09861793697557301,162
Performing quantitative analysis and numerical reasoning,4,0.6777910230715523,0.11548757733445066,173
Conducting quantitative analysis and interpretation,5,0.644757850186629,0.12302681301790154,55
Performing comprehensive numerical calculations and reasoning,5,0.5185832394679201,0.16660228206871663,55
"Analyzing and synthesizing complex biological, physiological, and ecological systems and interactions",2,0.8951962090199952,0.05000550572467241,1220
"Analyzing and synthesizing complex biological, biochemical, and physiological systems and processes to evaluate health impacts and functional interrelationships",3,0.8151483232916786,0.0731266393110236,485
"Analyzing and synthesizing biochemical and metabolic pathways to assess conditions, evaluate energy production, and interpret processes and conversions",4,0.6535689183197505,0.11741071648577325,126
"Analyzing and synthesizing metabolic and biochemical pathways to assess conditions, interpret deficiencies, evaluate functions, and identify disorders and treatments",5,0.5967211417283956,0.1369031005185231,80
"Analyzing and synthesizing biochemical and metabolic pathways to evaluate functions, regulatory mechanisms, and health implications",6,0.6077681959835058,0.1486260001385152,72
"Analyzing, synthesizing, and evaluating biological concepts, processes, structures, and systems to understand functions, interrelationships, and protective mechanisms.",4,0.4085322234822705,0.18283356029600542,105
Synthesizing and analyzing complex biological systems and processes,4,0.6015501231180187,0.16496747740000997,73
"Synthesizing and evaluating complex biological, ecological, biochemical, and pharmacological systems and processes",5,0.5424793609734115,0.1703895332192604,60
Analyzing and synthesizing biochemical and chemical processes and structures,4,0.6474635723555665,0.1283379390856164,68
Analyzing and synthesizing biochemical and molecular processes and interactions,5,0.6660245748690525,0.11938901032123095,58
Analyzing and synthesizing complex biological and physiological information across diverse contexts,3,0.6724931676794856,0.11711067718303597,194
Analyzing and synthesizing neurophysiological and physiological information,4,0.4807621689262228,0.18497296867500038,74
Analyzing and synthesizing neuroanatomical and neurophysiological information for comprehensive functional understanding,5,0.29295733622201725,0.19747157279770086,51
Analyzing and synthesizing biological and anatomical structures and functions across diverse applications and species,4,0.5970987744707962,0.15322217335128294,120
"Analyzing and understanding anatomical structures, functions, and relationships across species and within the human body",5,0.5863925023900642,0.14093659773169037,73
Analyzing and synthesizing complex biological and environmental interactions and data,3,0.7915234600324292,0.09442053406600219,266
"Analyzing and synthesizing biological, immunological, and pathogenic mechanisms and interactions",4,0.027428071635068278,0.23737066147700886,64
"Analyzing and synthesizing genetic, molecular, and environmental data to understand biological processes and outcomes",4,0.7676595855449634,0.08076281906890655,202
Analyzing and synthesizing genetic and environmental data for probabilistic evaluation of phenotypic and health outcomes,5,0.5821586177977267,0.1635691393778729,65
Analyzing and synthesizing biological and ecological knowledge and interactions,3,0.6384457081068258,0.11163233944324187,275
Analyzing and synthesizing biological and taxonomic knowledge and data patterns,4,,,61
"Analyzing and synthesizing biological, genetic, and evolutionary factors and evidence to understand processes, traits, relationships, and behaviors across species and mythologies",4,0.6377783703134468,0.13486898118608395,149
"Analyzing and synthesizing evolutionary and biological factors affecting behavior, traits, and dynamics",5,0.5620178548513648,0.16493932392949812,70
"Analyzing and synthesizing evolutionary, genetic, and biological evidence to understand relationships, timelines, and classifications across species and mythologies",5,0.4836030218377326,0.16759243077412458,55
Analyzing and interpreting ecological and biological systems and interactions,4,0.4100088189399801,0.1915973060819689,65
Analyzing and synthesizing complex concepts and structures,2,0.8497479871499977,0.06865962020395945,941
Analyzing and synthesizing philosophical and theoretical concepts and arguments,3,0.7597430046033713,0.10035873406524702,407
"Analyzing and synthesizing philosophical, theoretical, and theological concepts and principles",4,0.5739412124709296,0.15146872494973107,143
Analyzing and synthesizing philosophical and theoretical concepts and principles,5,0.59485814880333,0.14627060349066925,116
Analyzing and evaluating philosophical concepts and theories to synthesize and interpret foundational principles and existential relationships,6,0.5310815138166197,0.17363366065541722,78
"Analyzing and synthesizing philosophical arguments and theories on ethics, justice, and human rights to evaluate principles and perspectives",4,0.630745780844396,0.11317710076544252,264
"Analyzing and evaluating philosophical arguments and reasoning on ethics, justice, and human rights",5,0.6695779541673907,0.11555329738205472,198
Analyzing and synthesizing philosophical arguments and reasoning,6,0.6411754347303333,0.1210091774918835,162
Analyzing and synthesizing philosophical and ethical reasoning,7,0.6066782112833082,0.12652017334105822,59
"Analyzing and synthesizing arguments and theories to evaluate principles, implications, and perspectives.",5,0.5026500027075838,0.16903249430768974,66
Analyzing and evaluating complex logical and informational structures,3,0.8355632785252786,0.08518581602954592,534
Evaluating and analyzing complex information for validity and logical consistency,4,0.6416422279141798,0.12136326871967966,103
"Evaluating and analyzing statements for accuracy, coherence, and logical consistency based on empirical, scientific, and contextual principles",5,0.6318690406212378,0.12847088431519163,71
Analyzing and evaluating complex arguments and reasoning,4,0.451089544102009,0.15657437541134178,190
Analyzing and interpreting complex arguments and evaluating their logical coherence and implications,5,0.4285225266373031,0.1751797340921077,72
"Analyzing and evaluating arguments for logical coherence, evidence sufficiency, and underlying implications",6,0.37412737081539627,0.18469612149853043,64
Analyzing and evaluating logical fallacies and reasoning in arguments,5,0.3033519568803685,0.14002314367143862,118
"Analyzing and evaluating logical, mathematical, and linguistic structures and relationships across various domains",4,0.7488086156171416,0.08493884227943357,241
Analyzing and evaluating logical reasoning and relationships across various contexts,5,0.624621502817675,0.12410419051412167,67
Analyzing and synthesizing complex scientific principles and systems across various domains,2,0.900031635205562,0.049177316284973405,1073
Analyzing and synthesizing electromagnetic and electrical principles,3,0.7147367792902823,0.11971693593446577,131
Analyzing and synthesizing electrical systems and principles,4,0.6701010415234679,0.11726704098340075,83
Analyzing and optimizing complex scientific and thermodynamic systems,3,0.7324023735036096,0.11734062679813048,112
Analyzing and optimizing thermodynamic systems and gas behavior,4,0.6717407513606579,0.10817131951738168,91
Analyzing and evaluating thermodynamic and energy systems to optimize physical and material properties across various contexts,5,0.5035977045657388,0.13549973846642505,68
Analyzing and synthesizing scientific and wave-related phenomena and principles,3,0.6448877641667683,0.13124188455377608,151
Analyzing and applying scientific principles to evaluate and interpret diverse phenomena and characteristics,4,0.49590578966269944,0.17517282726353872,67
Analyzing and synthesizing wave-related phenomena and principles,4,0.4711715680675882,0.17890342181598293,84
Analyzing and applying principles of wave behavior and interactions,5,0.5915235969433338,0.16741427651149843,56
"Analyzing and evaluating chemical reactions, interactions, and properties using scientific principles and reasoning",3,0.6240534815776916,0.10433836765275147,139
"Analyzing and synthesizing scientific data and principles across geoscientific, geometric, astronomical, environmental, and physical systems",3,0.7393623597015906,0.10952500904020028,171
Analyzing and interpreting astronomical and celestial phenomena through data synthesis and classification,4,0.6511008794335101,0.14240178087533534,58
Analyzing and synthesizing chemical and physical properties and interactions using scientific principles and data,3,0.756284312528611,0.0881756057007829,192
"Analyzing and applying advanced scientific and mathematical principles to solve complex problems involving motion, forces, and physical systems.",3,0.680541642660185,0.11095218238336893,177
"Analyzing and evaluating ethical, moral, and societal implications across diverse contexts and frameworks",2,0.9217256772012561,0.05405136008400926,1281
Analyzing and evaluating moral and ethical implications across diverse contexts and frameworks,3,0.5931555744107908,0.14652516969627144,108
Evaluating and analyzing ethical standards across diverse contexts,3,0.6127829347818092,0.12324296821164601,113
Evaluating and analyzing ethical standards and implications across diverse contexts,4,0.5653351635692727,0.16005971382499243,81
Evaluating and analyzing ethical standards and considerations across diverse professional contexts and scenarios,5,0.2856567898476181,0.22510238818740663,57
"Analyzing and evaluating ethical, justice, and societal implications across diverse contexts and frameworks",3,0.5208544193450299,0.12633378564285963,83
Analyzing and evaluating ethical and justice frameworks,4,0.5186878466540832,0.143821646992132,56
Analyzing and evaluating ethical frameworks in diverse contexts,5,0.5433885133826579,0.14404647216355315,52
