node,depth,mean_kendall_tau,std_kendall_tau,num_instances
Developing quantitative reasoning and analytical problem-solving skills,2,0.8483169973543291,0.0851851857802204,1247
Enhancing statistical and probabilistic reasoning and analysis skills,3,0.8333074106129036,0.08992037306980113,223
Enhancing quantitative analysis and reasoning efficiency,4,0.7587066594279833,0.13305943313397353,50
Analyzing and applying probabilistic and statistical reasoning and techniques,4,0.8097431267782915,0.10373851931878611,76
Utilizing mathematical reasoning and problem-solving principles,3,0.8507246185885583,0.08774976929161206,566
Analyzing and applying mathematical and algebraic principles and structures,4,0.8270045996891678,0.09032431108158107,296
Utilizing analytical reasoning and mathematical interpretation skills,5,0.8213468534374465,0.09663865378006785,75
Analyzing and interpreting numerical and mathematical systems and operations,6,0.823677672192764,0.09398007567917119,64
Applying mathematical reasoning and problem-solving techniques,4,0.8692807093382928,0.07611077335151935,270
Performing mathematical manipulations and problem-solving through algebraic and arithmetic techniques,5,0.7206432670378754,0.13351235046926457,105
Utilizing mathematical reasoning to solve complex problems,5,0.8729666614338027,0.0696613503058278,165
Analyzing and solving mathematical and logical problems and relationships across various contexts,6,0.8376119981857564,0.08500365881022273,103
"Applying mathematical reasoning and principles to solve diverse quantitative, functional, and scientific problems",6,0.7820809454156424,0.09625985942076219,62
Conducting comprehensive quantitative reasoning and analysis,3,0.8514222462679062,0.08287772245340418,458
Analyzing and calculating financial and quantitative metrics,4,0.8445793889501905,0.08357903453353249,123
Performing advanced mathematical and quantitative reasoning,4,0.8082525323096702,0.09047845881154336,162
Performing quantitative analysis and numerical reasoning,4,0.8472441508639897,0.07952516285573513,173
Conducting quantitative analysis and interpretation,5,0.8309164202712871,0.09224113840061803,55
Performing comprehensive numerical calculations and reasoning,5,0.8194676689904333,0.10310506883692266,55
"Analyzing and synthesizing complex biological, physiological, and ecological systems and interactions",2,0.9496958966866897,0.043263233163985865,1220
"Analyzing and synthesizing complex biological, biochemical, and physiological systems and processes to evaluate health impacts and functional interrelationships",3,0.9071517625291442,0.05912253652176819,485
"Analyzing and synthesizing biochemical and metabolic pathways to assess conditions, evaluate energy production, and interpret processes and conversions",4,0.8338473779010723,0.08857414874873257,126
"Analyzing and synthesizing metabolic and biochemical pathways to assess conditions, interpret deficiencies, evaluate functions, and identify disorders and treatments",5,0.8069026629962909,0.09867710081392199,80
"Analyzing and synthesizing biochemical and metabolic pathways to evaluate functions, regulatory mechanisms, and health implications",6,0.8264932724508307,0.09350573202407157,72
"Analyzing, synthesizing, and evaluating biological concepts, processes, structures, and systems to understand functions, interrelationships, and protective mechanisms.",4,0.7167787390182547,0.13814376642710346,105
Synthesizing and analyzing complex biological systems and processes,4,0.8039221829078217,0.10993719711256358,73
"Synthesizing and evaluating complex biological, ecological, biochemical, and pharmacological systems and processes",5,0.8058014649639517,0.12339818936920462,60
Analyzing and synthesizing biochemical and chemical processes and structures,4,0.8552542725022723,0.08061624065152372,68
Analyzing and synthesizing biochemical and molecular processes and interactions,5,0.8592785979868373,0.07262546537221466,58
Analyzing and synthesizing complex biological and physiological information across diverse contexts,3,0.845572935178541,0.07607959384363588,194
Analyzing and synthesizing neurophysiological and physiological information,4,0.7582471982488606,0.13970117419014705,74
Analyzing and synthesizing neuroanatomical and neurophysiological information for comprehensive functional understanding,5,0.6827444599104977,0.17677634162539177,51
Analyzing and synthesizing biological and anatomical structures and functions across diverse applications and species,4,0.8125226227345831,0.1008792093657207,120
"Analyzing and understanding anatomical structures, functions, and relationships across species and within the human body",5,0.8049485544918907,0.09181906288656848,73
Analyzing and synthesizing complex biological and environmental interactions and data,3,0.8994981497994522,0.07118525911143665,266
"Analyzing and synthesizing biological, immunological, and pathogenic mechanisms and interactions",4,0.5872831565308124,0.23018057254020843,64
"Analyzing and synthesizing genetic, molecular, and environmental data to understand biological processes and outcomes",4,0.8966509443212605,0.06095440673333703,202
Analyzing and synthesizing genetic and environmental data for probabilistic evaluation of phenotypic and health outcomes,5,0.7932972746725834,0.14338321156908834,65
Analyzing and synthesizing biological and ecological knowledge and interactions,3,0.8229512452467859,0.09152310021295569,275
