node,depth,mean_kendall_w,std_kendall_w,num_instances
Developing quantitative reasoning and analytical problem-solving skills,2,0.851061772679196,0.030215131430439246,1247
Enhancing statistical and probabilistic reasoning and analysis skills,3,0.7690591190477671,0.036303079252156895,223
Enhancing quantitative analysis and reasoning efficiency,4,0.4972853694798649,0.07632683692471742,50
Analyzing and applying probabilistic and statistical reasoning and techniques,4,0.6440598293138068,0.06479306089776736,76
Utilizing mathematical reasoning and problem-solving principles,3,0.8320757801681979,0.03026806665253007,566
Analyzing and applying mathematical and algebraic principles and structures,4,0.7931197962810481,0.027923666975718374,296
Utilizing analytical reasoning and mathematical interpretation skills,5,0.6594647023002896,0.06688331095089152,75
Analyzing and interpreting numerical and mathematical systems and operations,6,0.6285388131359723,0.07071638841382444,64
Applying mathematical reasoning and problem-solving techniques,4,0.8163434184462135,0.03971242212996392,270
Performing mathematical manipulations and problem-solving through algebraic and arithmetic techniques,5,0.44329594252965393,0.08177427112182249,105
Utilizing mathematical reasoning to solve complex problems,5,0.8217174384971209,0.0406858421286226,165
Analyzing and solving mathematical and logical problems and relationships across various contexts,6,0.7327512219633135,0.0603754896025052,103
"Applying mathematical reasoning and principles to solve diverse quantitative, functional, and scientific problems",6,0.6858012055205913,0.062461156204382834,62
Conducting comprehensive quantitative reasoning and analysis,3,0.8055469705400153,0.03068860838819354,458
Analyzing and calculating financial and quantitative metrics,4,0.7233181770569729,0.0632000888927773,123
Performing advanced mathematical and quantitative reasoning,4,0.7267705414151082,0.059658588924579384,162
Performing quantitative analysis and numerical reasoning,4,0.7632584292148885,0.04456934178285747,173
Conducting quantitative analysis and interpretation,5,0.6563016463620966,0.06562634488879164,55
Performing comprehensive numerical calculations and reasoning,5,0.44871736241628557,0.06480888727688604,55
"Analyzing and synthesizing complex biological, physiological, and ecological systems and interactions",2,0.9296441629311946,0.02096091652761335,1220
"Analyzing and synthesizing complex biological, biochemical, and physiological systems and processes to evaluate health impacts and functional interrelationships",3,0.8612505054893741,0.0368922204341225,485
"Analyzing and synthesizing biochemical and metabolic pathways to assess conditions, evaluate energy production, and interpret processes and conversions",4,0.6508952459885018,0.07129624866809775,126
"Analyzing and synthesizing metabolic and biochemical pathways to assess conditions, interpret deficiencies, evaluate functions, and identify disorders and treatments",5,0.5921788455585884,0.07302785751865043,80
"Analyzing and synthesizing biochemical and metabolic pathways to evaluate functions, regulatory mechanisms, and health implications",6,0.573306749281563,0.06733344970165629,72
"Analyzing, synthesizing, and evaluating biological concepts, processes, structures, and systems to understand functions, interrelationships, and protective mechanisms.",4,0.3666680208896723,0.06499190925606252,105
Synthesizing and analyzing complex biological systems and processes,4,0.5511761754473912,0.08042191938661292,73
"Synthesizing and evaluating complex biological, ecological, biochemical, and pharmacological systems and processes",5,0.49575870060056243,0.07126238945957987,60
Analyzing and synthesizing biochemical and chemical processes and structures,4,0.6465848652434392,0.06630919653990898,68
Analyzing and synthesizing biochemical and molecular processes and interactions,5,0.6385025364326699,0.0671462429763354,58
Analyzing and synthesizing complex biological and physiological information across diverse contexts,3,0.6828977126357982,0.06740576393375008,194
Analyzing and synthesizing neurophysiological and physiological information,4,0.4723566090059421,0.07144509651348308,74
Analyzing and synthesizing neuroanatomical and neurophysiological information for comprehensive functional understanding,5,0.31479728155031933,0.06329641579604296,51
Analyzing and synthesizing biological and anatomical structures and functions across diverse applications and species,4,0.5720023698612343,0.07792980661512944,120
"Analyzing and understanding anatomical structures, functions, and relationships across species and within the human body",5,0.5353416182753299,0.068200835001617,73
Analyzing and synthesizing complex biological and environmental interactions and data,3,0.7806138097690876,0.0640928313083566,266
"Analyzing and synthesizing biological, immunological, and pathogenic mechanisms and interactions",4,0.17313450008999115,0.04807556945500607,64
"Analyzing and synthesizing genetic, molecular, and environmental data to understand biological processes and outcomes",4,0.7968098560457543,0.0570130057983554,202
Analyzing and synthesizing genetic and environmental data for probabilistic evaluation of phenotypic and health outcomes,5,0.520971027402662,0.07671896875101028,65
Analyzing and synthesizing biological and ecological knowledge and interactions,3,0.676103123294625,0.0680718659321263,275
Analyzing and synthesizing biological and taxonomic knowledge and data patterns,4,0.3493143951309203,0.07779072164279545,61
"Analyzing and synthesizing biological, genetic, and evolutionary factors and evidence to understand processes, traits, relationships, and behaviors across species and mythologies",4,0.6374944326407876,0.06962773295659538,149
"Analyzing and synthesizing evolutionary and biological factors affecting behavior, traits, and dynamics",5,0.5532546701083068,0.07489580983657906,70
"Analyzing and synthesizing evolutionary, genetic, and biological evidence to understand relationships, timelines, and classifications across species and mythologies",5,0.4345637215190459,0.08053604558800499,55
Analyzing and interpreting ecological and biological systems and interactions,4,0.39692360152294487,0.08521301818081164,65
Analyzing and synthesizing complex concepts and structures,2,0.9083596585591466,0.020438412165257647,941
Analyzing and synthesizing philosophical and theoretical concepts and arguments,3,0.8143801106513738,0.045658026955399875,407
"Analyzing and synthesizing philosophical, theoretical, and theological concepts and principles",4,0.5752470015238003,0.08057104856511864,143
Analyzing and synthesizing philosophical and theoretical concepts and principles,5,0.5254395954979648,0.08060422426569144,116
Analyzing and evaluating philosophical concepts and theories to synthesize and interpret foundational principles and existential relationships,6,0.4989713333204837,0.09634338293590955,78
"Analyzing and synthesizing philosophical arguments and theories on ethics, justice, and human rights to evaluate principles and perspectives",4,0.7651657032414407,0.05161899345924216,264
"Analyzing and evaluating philosophical arguments and reasoning on ethics, justice, and human rights",5,0.7314543707665878,0.06464702063542416,198
Analyzing and synthesizing philosophical arguments and reasoning,6,0.7175448345987809,0.06587355620374206,162
Analyzing and synthesizing philosophical and ethical reasoning,7,0.625300655384877,0.07824980618876362,59
"Analyzing and synthesizing arguments and theories to evaluate principles, implications, and perspectives.",5,0.4575733850196958,0.07681004748883004,66
Analyzing and evaluating complex logical and informational structures,3,0.8878013160710748,0.02867582575729512,534
Evaluating and analyzing complex information for validity and logical consistency,4,0.6250219577589422,0.07761026274635544,103
"Evaluating and analyzing statements for accuracy, coherence, and logical consistency based on empirical, scientific, and contextual principles",5,0.5988542176931096,0.07627568184605957,71
Analyzing and evaluating complex arguments and reasoning,4,0.5853618049559282,0.05891228759846346,190
Analyzing and interpreting complex arguments and evaluating their logical coherence and implications,5,0.44030784933690054,0.07524266412571991,72
"Analyzing and evaluating arguments for logical coherence, evidence sufficiency, and underlying implications",6,0.4012168485611693,0.07366860099470118,64
Analyzing and evaluating logical fallacies and reasoning in arguments,5,0.5108435046486638,0.06228343045100701,118
"Analyzing and evaluating logical, mathematical, and linguistic structures and relationships across various domains",4,0.8600973211553323,0.03498724107321818,241
Analyzing and evaluating logical reasoning and relationships across various contexts,5,0.610240495424456,0.07452249542719981,67
Analyzing and synthesizing complex scientific principles and systems across various domains,2,0.9379238741021766,0.022287862805376212,1073
Analyzing and synthesizing electromagnetic and electrical principles,3,0.7254519139804001,0.05940210764322297,131
Analyzing and synthesizing electrical systems and principles,4,0.6527567563614332,0.07370633137575358,83
Analyzing and optimizing complex scientific and thermodynamic systems,3,0.7290975666514198,0.06030883050863175,112
Analyzing and optimizing thermodynamic systems and gas behavior,4,0.7008524681381822,0.06764535834317899,91
Analyzing and evaluating thermodynamic and energy systems to optimize physical and material properties across various contexts,5,0.6110085251288887,0.07802248605215804,68
Analyzing and synthesizing scientific and wave-related phenomena and principles,3,0.6186355804817751,0.07352985790725661,151
Analyzing and applying scientific principles to evaluate and interpret diverse phenomena and characteristics,4,0.44663687080520603,0.08393552053457318,67
Analyzing and synthesizing wave-related phenomena and principles,4,0.47306771956589566,0.07342804474575354,84
Analyzing and applying principles of wave behavior and interactions,5,0.5048970714964952,0.07336044650707173,56
"Analyzing and evaluating chemical reactions, interactions, and properties using scientific principles and reasoning",3,0.764749683296417,0.048826958088826,139
"Analyzing and synthesizing scientific data and principles across geoscientific, geometric, astronomical, environmental, and physical systems",3,0.7522673957584761,0.06459495376805376,171
Analyzing and interpreting astronomical and celestial phenomena through data synthesis and classification,4,0.5467352680444952,0.07412268531353987,58
Analyzing and synthesizing chemical and physical properties and interactions using scientific principles and data,3,0.8119510660571239,0.052477756697846246,192
"Analyzing and applying advanced scientific and mathematical principles to solve complex problems involving motion, forces, and physical systems.",3,0.7721557621561493,0.03287981227623233,177
"Analyzing and evaluating ethical, moral, and societal implications across diverse contexts and frameworks",2,0.9580800175600616,0.008408321372033425,1281
Analyzing and evaluating moral and ethical implications across diverse contexts and frameworks,3,0.573185654835674,0.0799661116510547,108
Evaluating and analyzing ethical standards across diverse contexts,3,0.6366593241896578,0.07375218775693615,113
Evaluating and analyzing ethical standards and implications across diverse contexts,4,0.5028321341934916,0.08515984701619639,81
Evaluating and analyzing ethical standards and considerations across diverse professional contexts and scenarios,5,0.3159870937356361,0.07103926161408886,57
"Analyzing and evaluating ethical, justice, and societal implications across diverse contexts and frameworks",3,0.5750096821102756,0.08575199261093673,83
Analyzing and evaluating ethical and justice frameworks,4,0.5096434360820881,0.08529857637261677,56
Analyzing and evaluating ethical frameworks in diverse contexts,5,0.5378904709452041,0.0872832439951814,52
Analyzing and evaluating ethical frameworks to prioritize diverse moral considerations,6,0.5242558407674344,0.08918179999163456,51
Analyzing and synthesizing ethical considerations and reasoning for informed decision-making,3,0.7009382157967523,0.07059466310713902,114
"Analyzing and evaluating moral, ethical, social, and legal implications in diverse and complex scenarios",3,0.9478724699669148,0.013265736906975956,408
Analyzing and evaluating moral and ethical implications and standards in various scenarios and contexts,4,0.9156737318696555,0.023091881828293335,185
Analyzing and evaluating moral and ethical implications and responsibilities,5,0.8953888233004396,0.026794287449160827,102
Analyzing moral implications and ethical standards,6,0.8948950005774365,0.026589617119317698,98
Analyzing moral implications and ethical standards,7,0.8891930750261569,0.026775625343810523,94
"Evaluating moral implications based on ethical, societal, legal, and contextual standards and norms",3,0.9474873460120824,0.01355224803020536,455
Evaluating moral implications within societal contexts,4,0.8304952830132256,0.04575685395827193,71
Evaluating moral implications based on societal standards,5,0.8053393878020934,0.05341051041105887,60
Evaluating moral implications based on societal standards,6,0.7864042125997042,0.05840422255459389,58
"Evaluating moral implications based on societal norms and ethical, legal, and environmental standards.",4,0.7916252849128337,0.056085373960441554,129
Evaluating moral implications based on societal norms and ethical standards.,5,0.6931213942149764,0.07533047386162464,63
Evaluating moral implications based on societal norms and ethical standards.,6,0.6759022908627482,0.07486442613296003,62
Analyzing and synthesizing complex economic and financial systems for strategic decision-making and evaluation,2,0.9449802271425612,0.015672105785908785,1017
Analyzing and interpreting financial data and systems for strategic decision-making and compliance,3,0.84521855991077,0.03130110904100917,169
Analyzing and synthesizing complex economic systems and market dynamics for informed decision-making,3,0.8250410339694271,0.040563153206952966,279
Analyzing and evaluating complex systems and economic factors for informed decision-making,4,0.6750239534492509,0.07897851482167356,88
Analyzing and interpreting economic factors for optimal decision-making,5,0.6006285141730491,0.07805008566021758,60
"Analyzing and synthesizing economic and market dynamics to evaluate growth, efficiency, and consumer behavior.",4,0.7767979583554885,0.052619512360875025,191
"Analyzing and synthesizing economic data, principles, and policies for comprehensive evaluation and decision-making across global systems and impacts.",3,0.8935905144997285,0.026147028224359884,569
"Analyzing and evaluating economic, social, and environmental data and policies to assess impacts, trends, and disparities",4,0.5332701530019347,0.08752343202286332,108
"Analyzing and interpreting economic data and indicators to assess impacts on economic metrics, currency value, and trade dynamics.",4,0.7556764928346451,0.05553072808044601,125
"Analyzing and interpreting economic indicators to evaluate and understand economic dynamics, trends, and impacts",5,0.6671767944010405,0.07233161704915744,90
Analyzing and evaluating economic and policy impacts and relationships,4,0.7588572061311432,0.06271750983197955,125
Analyzing and synthesizing economic principles and systems for comprehensive evaluation and decision-making,4,0.8161055490851764,0.048520753458818705,148
Analyzing and synthesizing economic concepts and systems for comprehensive evaluation and strategic decision-making,5,0.7546019482618258,0.06291863913084635,116
"Analyzing and synthesizing complex historical, cultural, and contextual information across diverse domains and systems",2,0.9000038734118841,0.02193494451687489,1546
Analyzing and synthesizing diverse information across domains and trends,3,0.7275984119990353,0.06433977363167594,250
Analyzing and synthesizing historical and contextual information across various domains,4,0.7268882876013499,0.0635731182567728,249
Analyzing and synthesizing historical contexts and information for accurate insights and conclusions,5,0.4521285402281863,0.0784273577890624,78
"Analyzing and synthesizing historical, political, and social contexts and dynamics",3,0.7941559114730884,0.038239980208183616,308
"Analyzing and evaluating historical, political, and social contexts and systems",4,0.7267430221103091,0.07060790862449173,186
"Analyzing and synthesizing historical, political, and social contexts and documents to evaluate developments and implications",5,0.5307691866055303,0.08384761443260909,121
"Analyzing and evaluating historical, political, and social contexts and documents to understand and synthesize developments and contributions",6,0.466571308576265,0.08014761112762826,69
"Analyzing and evaluating historical and political contexts to understand and synthesize motivations, implications, and developments in governance and societal discourse.",7,0.5266773161037926,0.07191408423262977,50
Analyzing and evaluating historical and political systems and influences,5,0.6872224793057626,0.06060442196628693,65
Analyzing and synthesizing historical and geopolitical contexts and dynamics,4,0.7083250550713094,0.06826302030245959,122
"Analyzing and synthesizing historical, socio-economic, demographic, cultural, and media trends and impacts",3,0.36910498905296224,0.07341602217466939,120
Analyzing and interpreting demographic and cultural influences,4,0.22753633213109192,0.05760126036834954,54
Analyzing and interpreting demographic trends and representations,5,0.22845668025332974,0.05624578447642233,53
"Analyzing and interpreting demographic, historical, and statistical data trends",6,0.23693058437445086,0.05761535457333985,52
"Analyzing and synthesizing historical, cultural, geographical, and scientific data to understand patterns, impacts, and developments across human and ecological systems.",3,0.7125270505586931,0.0665007661755067,199
"Analyzing and synthesizing historical, archaeological, and cultural evidence to understand technological and societal developments",4,0.5130719759578001,0.07522469688917155,58
"Analyzing and interpreting religious, historical, cultural, and linguistic contexts and texts",3,0.685271411738542,0.0682152510319832,239
"Analyzing and synthesizing religious, historical, and cultural contexts and texts",4,0.49038335412598233,0.08150811954687183,91
"Analyzing and interpreting cultural, historical, and linguistic contexts and influences",4,0.5490114874867602,0.08704685425034639,148
Analyzing and interpreting cultural and historical contexts and influences,5,0.5768418047591303,0.07769442630327865,100
"Analyzing and synthesizing historical, philosophical, and contextual insights for thematic and societal interpretation",3,0.6939827482047877,0.06785850467852735,238
"Analyzing historical and philosophical texts for thematic, contextual, and ideological insights",4,0.5531353529754475,0.08252712944964037,152
"Analyzing historical texts for thematic, contextual, and ideological insights into political, societal, economic, and policy implications",5,0.4738653032778772,0.08152202822433562,127
"Analyzing historical texts and narratives for thematic, contextual, and ideological insights into societal, economic, and policy implications",6,0.24118567435980032,0.059154273359237584,91
"Analyzing and synthesizing contextual, textual, and historical insights to interpret societal and thematic implications",4,0.586721011289998,0.07062005538848383,86
Analyzing and synthesizing societal and cultural narratives and influences,3,0.7301114235064116,0.0654473773900322,192
"Analyzing and evaluating societal, cultural, political, economic, and historical influences and contexts",4,0.6925916856961296,0.07639861839702904,176
"Analyzing and evaluating societal, cultural, political, and economic influences and structures",5,0.5838624296568325,0.08627095033415265,99
"Analyzing and evaluating socio-political, economic, and cultural dynamics and structures",6,0.4160762914408043,0.07927779950534442,66
"Analyzing historical, socio-political, and cultural contexts to evaluate impacts on society, identity, and reform movements",5,0.4641842778295146,0.0763677279198525,77
Synthesizing and integrating complex health and scientific data for informed decision-making,2,0.8879334321122876,0.023520201970684263,931
"Synthesizing and analyzing complex medical, clinical, and psychological data for comprehensive healthcare management and decision-making",3,0.8454277359331296,0.03580648391178929,569
Analyzing and synthesizing clinical and diagnostic data to identify and differentiate medical conditions and disease mechanisms,4,0.6662762135241819,0.06853643293409296,122
Analyzing and synthesizing clinical data to diagnose and differentiate medical conditions,5,0.49472723048749595,0.09440279648335541,51
Enhancing patient care through comprehensive healthcare management,4,0.3534457148331121,0.07105469559089946,81
Analyzing and prioritizing clinical data and interventions for effective medical management,4,0.5517828233777454,0.07893956545241142,70
Evaluating and synthesizing psychological scenarios and research findings,4,0.3787025039663032,0.07230284099442369,70
"Synthesizing and analyzing complex medical, legal, and microbial information for informed decision-making",4,0.5377311504402232,0.07658749783126816,96
Integrating and synthesizing medical and microbial knowledge through comparative analysis,5,0.43888119983380286,0.081556846577271,58
Analyzing and integrating health and scientific data across diverse contexts,3,0.8446617233716214,0.04092935768654746,362
