subset,mean_kendall_tau,std_kendall_tau,num_instances
boolean_expressions,0.8068278114694181,0.026209294617358114,250
causal_judgement,0.4458893125433117,0.11087849021449216,187
date_understanding,0.8106337127536719,0.01775660407840341,250
disambiguation_qa,0.7879011421564996,0.0350336215056997,250
formal_fallacies,0.5171436911053804,0.1593904815508985,250
geometric_shapes,0.8164474188647937,0.029776686312537284,250
hyperbaton,0.6859315852014051,0.10653218904234395,250
logical_deduction_five_objects,0.7609232726160388,0.026120337448794485,250
logical_deduction_seven_objects,0.7731635218950469,0.022077953220191748,250
logical_deduction_three_objects,0.7716651121311711,0.030770281013481057,250
movie_recommendation,0.8507233163267817,0.015189582631882604,250
navigate,0.7538436028781075,0.07168352602438006,250
object_counting,0.8235831694568561,0.014465920280438442,250
penguins_in_a_table,0.7530765265006478,0.024174149170873956,146
reasoning_about_colored_objects,0.8706100139852427,0.0133031018130302,250
ruin_names,0.8662774967692511,0.018407595214286115,250
salient_translation_error_detection,0.8400257917460745,0.02225910526667833,250
snarks,0.6493162764828676,0.08584023951791059,178
sports_understanding,0.8067482368441727,0.03569682340649239,248
temporal_sequences,0.8193406292333304,0.029522511273349525,250
tracking_shuffled_objects_five_objects,0.30464286367904925,0.07241396358171588,250
tracking_shuffled_objects_seven_objects,0.3045736900206094,0.05656566695059523,250
tracking_shuffled_objects_three_objects,0.03496833097157294,0.12250733645192492,250
web_of_lies,0.09968223127354302,0.18906154700137767,250
