subset,mean_kendall_tau,std_kendall_tau,num_instances
Physics (general),0.007216664893302785,0.08498412965652978,19
Organic Chemistry,0.0686137479180429,0.08077943901415113,72
Quantum Mechanics,0.22003756961792334,0.10324411963915477,25
Electromagnetism and Photonics,-0.048351591701906595,0.036449532401167176,6
High-energy particle physics,0.026710408370096653,0.09862229309210739,14
Genetics,0.2228933139722484,0.086085468078476,4
Astrophysics,0.009348330025117285,0.12384168127103543,13
Molecular Biology,0.3323823991020221,0.05285512656487645,15
Chemistry (general),0.01758767959688013,0.10007187768401142,20
Relativistic Mechanics,0.10974601392992583,0.12681222328220343,7
Inorganic Chemistry,,,1
Optics and Acoustics,,,1
Condensed Matter Physics,,,1
