subset,mean_kendall_tau,std_kendall_tau,num_instances
business,0.8488172582979929,0.015412669611079432,789
law,0.87890174306521,0.014126906735119809,1101
psychology,0.9072298356339361,0.01142721671533245,798
biology,0.8898762290231778,0.01234141204661703,717
chemistry,0.8544840687712183,0.017488753037914202,1132
history,0.8546718145545517,0.014950259945712047,381
other,0.8731813291762068,0.011490301761702841,924
health,0.8928889666652525,0.010904258543408372,818
economics,0.8827020376008895,0.01162749515499953,844
math,0.852189498457153,0.016692068175706457,1351
physics,0.8772554236557039,0.01576449077569023,1299
computer science,0.862613705816877,0.014644041395091725,410
philosophy,0.8619195125874681,0.015711511585537834,499
engineering,0.8469921998280444,0.015887550852714438,969
