subset,mean_kendall_tau,std_kendall_tau,num_instances
abstract_algebra,0.8403947848121832,0.0941811791738127,100
anatomy,0.7661532668044844,0.10857062883297183,135
astronomy,0.8629793361885415,0.07978277039484219,152
business_ethics,0.7278587875233636,0.13262558201774496,100
clinical_knowledge,0.8048558641844521,0.10107137273471231,265
college_biology,0.8777308874013856,0.05808655584115424,144
college_chemistry,0.8084455061118899,0.08802951411159358,100
college_computer_science,0.7918908491034914,0.10363250615202571,100
college_mathematics,0.8075501801642949,0.09138728923715982,100
college_medicine,0.7818679065621456,0.09708535026046597,173
college_physics,0.828295932400993,0.08285443260155789,102
computer_security,0.7056002469220845,0.16935429528396723,100
conceptual_physics,0.9036582720209178,0.05846290840906979,235
econometrics,0.8617594384479448,0.08793222439857369,114
electrical_engineering,0.8495935303404782,0.09584433302639986,145
elementary_mathematics,0.892826441312045,0.06962348730676385,378
formal_logic,0.8217525763999641,0.09717938487152339,126
global_facts,0.7752542755253508,0.11751995430059747,100
high_school_biology,0.8922369960943677,0.0635587283280314,310
high_school_chemistry,0.8953161485666257,0.053277157618393065,203
high_school_computer_science,0.8508363799816103,0.08418974939032071,100
high_school_european_history,0.8145708975271103,0.102079880130948,165
high_school_geography,0.824092988249455,0.07208839371173996,198
high_school_government_and_politics,0.8437684156792273,0.0762075147200776,193
high_school_macroeconomics,0.913600579857518,0.056256306845513665,390
high_school_mathematics,0.7918427455357052,0.10289028747917237,270
high_school_microeconomics,0.8976331744004723,0.06463434718572438,238
high_school_physics,0.8304842844176489,0.08948877084973626,151
high_school_psychology,0.8887953752702406,0.07273148440882882,545
high_school_statistics,0.8605815955513171,0.08220250397279655,216
high_school_us_history,0.8682326605091429,0.06663719550503464,204
high_school_world_history,0.9007122035831239,0.053345378895819764,237
human_aging,0.8955755156202129,0.07007080092044658,223
human_sexuality,0.7493251059180642,0.08729886068534297,131
international_law,0.8639128501670846,0.07351565303490247,121
jurisprudence,0.8709428063609017,0.07704126240632567,108
logical_fallacies,0.7874110837172604,0.12762850353599364,163
machine_learning,0.8984843211884028,0.059598186845093146,112
management,0.6601358181840427,0.1963938024199933,103
marketing,0.7437295568355887,0.1288177329250179,234
medical_genetics,0.8547753186607515,0.07317818536188926,100
miscellaneous,0.8352635038786441,0.09331915966186083,783
moral_disputes,0.8403384721691701,0.09668405844823984,346
moral_scenarios,0.964972501100132,0.04377505616298341,895
nutrition,0.8685581135500772,0.07879842778033581,306
philosophy,0.8915596717951273,0.0699388756923738,311
prehistory,0.9235040187591648,0.05575058555017195,324
professional_accounting,0.8554100784194649,0.07988188463588865,282
professional_law,0.9081639833767231,0.06213496803918948,1534
professional_medicine,0.8529334330003667,0.0737968871750599,272
professional_psychology,0.8426408771914418,0.08064933588752675,612
public_relations,0.7707441412864914,0.11729117429221235,110
security_studies,0.8173285050465424,0.09878528000792118,245
sociology,0.8188972769177757,0.09254211310838799,201
us_foreign_policy,0.8000597678106446,0.10406005915353327,100
virology,0.5929075434429639,0.1827967670272068,166
world_religions,0.7823073551839467,0.12011228579038946,171
