subset,mean_kendallw,std_kendallw,num_instances
abstract_algebra,0.9046505718720239,0.03528366710173952,100
anatomy,0.8579192335261551,0.06683138142580462,135
astronomy,0.9227585550510212,0.03793856912092953,152
business_ethics,0.7572426964065146,0.09888037258841116,100
clinical_knowledge,0.8750057235666682,0.05511404584045012,265
college_biology,0.9394149776400642,0.03719934268022593,144
college_chemistry,0.8886188172450573,0.04940112181777854,100
college_computer_science,0.8499752861565867,0.05361916933800244,100
college_mathematics,0.8754889130123227,0.04651255573417574,100
college_medicine,0.8680158670259169,0.04962591177563369,173
college_physics,0.8771774808657692,0.06790079346244163,102
computer_security,0.7015430346976322,0.11736083540891962,100
conceptual_physics,0.9616907858160982,0.02211757226466986,235
econometrics,0.9242077546429746,0.046038988663027844,114
electrical_engineering,0.8918186313207442,0.0601345318489419,145
elementary_mathematics,0.941546884671122,0.030102182456699527,378
formal_logic,0.8994086999062862,0.02919136070890751,126
global_facts,0.8295034374693107,0.08170241157794908,100
high_school_biology,0.9553219546589787,0.026875811174884457,310
high_school_chemistry,0.9459798432350874,0.022677223864417544,203
high_school_computer_science,0.9104154109825713,0.05037360973856682,100
high_school_european_history,0.8636333561748146,0.06164212354695418,165
high_school_geography,0.8785989570618632,0.05767718474266594,198
high_school_government_and_politics,0.8853015945535739,0.03906833616504986,193
high_school_macroeconomics,0.9655953722397135,0.022247161039319837,390
high_school_mathematics,0.8854740878881389,0.042200684071695915,270
high_school_microeconomics,0.9533856679069418,0.019177296740939223,238
high_school_physics,0.9050606028878829,0.04796015531825439,151
high_school_psychology,0.9410644401667898,0.024534220859679243,545
high_school_statistics,0.8952307265655913,0.03989085861267727,216
high_school_us_history,0.9139124651622411,0.03909492787043911,204
high_school_world_history,0.9556740357996364,0.025939513862447,237
human_aging,0.9300456179555343,0.04721464998447289,223
human_sexuality,0.8313512626767819,0.04313674552277173,131
international_law,0.9061296785688653,0.042691365258126356,121
jurisprudence,0.9379620838013729,0.037606088589764844,108
logical_fallacies,0.822701877413279,0.06984961706661219,163
machine_learning,0.9511807473455401,0.03235035824246688,112
management,0.6836811533941297,0.13289032317700136,103
marketing,0.7702830536737533,0.09630419579753001,234
medical_genetics,0.8901194971147779,0.04915592102715632,100
miscellaneous,0.9102610145319525,0.0317961623918109,783
moral_disputes,0.8974095468449905,0.0368294878395164,346
moral_scenarios,0.9814863840635893,0.014656374168307772,895
nutrition,0.9218139482131291,0.03260979501865105,306
philosophy,0.934152775677407,0.031008298401984304,311
prehistory,0.9515222629410643,0.027379950965431,324
professional_accounting,0.9364697496529517,0.027683362004886955,282
professional_law,0.9635791184971619,0.01894215704370566,1534
professional_medicine,0.9190850862180358,0.02916557430293259,272
professional_psychology,0.9290972586626709,0.03400968324622933,612
public_relations,0.8527432876590042,0.07102156764330458,110
security_studies,0.864711904342151,0.04797911223945873,245
sociology,0.8567357546822164,0.059077964396469465,201
us_foreign_policy,0.811098283691517,0.09271795307071064,100
virology,0.569479324400209,0.12635109861388755,166
world_religions,0.8044061040631655,0.08548122797395344,171
