subset,mean_kendall_tau,std_kendall_tau,num_instances
abstract_algebra,0.6571070297332462,0.09614139610414325,100
anatomy,0.5531362503150183,0.13863652942925497,135
astronomy,0.714547566839326,0.10801619070478952,152
business_ethics,0.3957405822264763,0.1765472109344092,100
clinical_knowledge,0.6001804224750694,0.13232941994378872,265
college_biology,0.7586834672777788,0.10085358305418103,144
college_chemistry,0.6378130652858987,0.12019502974224877,100
college_computer_science,0.5276402890204271,0.12564778977622687,100
college_mathematics,0.6171612260065334,0.11142629553329071,100
college_medicine,0.5523935613341576,0.11264560851255569,173
college_physics,0.6276608201574877,0.1392489140129293,102
computer_security,0.3383998344113345,0.1957539049641504,100
conceptual_physics,0.8338684644799316,0.07612845453851322,235
econometrics,0.7083634677440941,0.11369815168052923,114
electrical_engineering,0.6884444981283987,0.1337298608092014,145
elementary_mathematics,0.7749859906302075,0.09009759601052021,378
formal_logic,0.6272524231907092,0.09367050730294095,126
global_facts,0.5546693903186667,0.1558303013437933,100
high_school_biology,0.8009606827797665,0.08027893618224187,310
high_school_chemistry,0.7479159209606256,0.06438251395569547,203
high_school_computer_science,0.7171506211033359,0.1210084717975852,100
high_school_european_history,0.5688172897575604,0.13050639108930837,165
high_school_geography,0.62581710487963,0.12307847199528268,198
high_school_government_and_politics,0.6219187350457305,0.11138620570913042,193
high_school_macroeconomics,0.8354745166510261,0.07676039536710108,390
high_school_mathematics,0.6005706524616546,0.11016730773858083,270
high_school_microeconomics,0.7783365786348782,0.07551343195698029,238
high_school_physics,0.6746943792791762,0.10996864831585897,151
high_school_psychology,0.747810901275285,0.07811395788130746,545
high_school_statistics,0.6481679396818472,0.09952589105890282,216
high_school_us_history,0.6924214796792285,0.10882061920436295,204
high_school_world_history,0.7996997408797402,0.08168704618404607,237
human_aging,0.7471246931420618,0.12037946324134574,223
human_sexuality,0.46416534797054215,0.1021545377640198,131
international_law,0.6779169892459329,0.10968676689783503,121
jurisprudence,0.769069385278489,0.10421893445775114,108
logical_fallacies,0.5482347569338505,0.142390666063979,163
machine_learning,0.7998705514144658,0.09141140764679193,112
management,0.3184902673452391,0.2234563982092744,103
marketing,0.42798222917435924,0.16240065211048485,234
medical_genetics,0.6471112277172804,0.11813699068675193,100
miscellaneous,0.6788252742308761,0.09943296480381297,783
moral_disputes,0.6487990376318741,0.10783023713774137,346
moral_scenarios,0.9040776253552977,0.0665010343435496,895
nutrition,0.7177291925241879,0.10101783522664239,306
philosophy,0.7379821967020409,0.08829582089532088,311
prehistory,0.8041978465210852,0.08862533151788295,324
professional_accounting,0.7423268955354887,0.08846601407602682,282
professional_law,0.8132046655442996,0.06604861350842654,1534
professional_medicine,0.6940148112886103,0.094923632777044,272
professional_psychology,0.7397536290892465,0.09969263280191765,612
public_relations,0.549742839761943,0.14236514908422654,110
security_studies,0.5506962952930996,0.12394304789128142,245
sociology,0.5803147677248233,0.13337539193696674,201
us_foreign_policy,0.4893002087003066,0.16547693189786614,100
virology,0.10617044041005752,0.19852595084310323,166
world_religions,0.47851228110262856,0.15452939432212534,171
